region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Fst,38,0.7083,13.16,False,False,-1.1848,1.8931,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gabre,38,0.0,0.0,False,False,-6.7161,6.7161,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gad1,38,1.4934,28.95,False,False,-9.6293,11.1227,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gad2,38,3.2226,50.0,False,False,-8.0173,11.2399,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gal,38,0.0,0.0,False,False,-9.9521,9.9521,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gfra1,38,0.0,0.0,False,False,-7.2439,7.2439,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Glipr1,38,0.5374,10.53,False,False,-1.7026,2.24,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gnb3,38,0.0,0.0,False,False,-0.7193,0.7193,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gpr101,38,0.2871,5.26,False,False,-6.7042,6.9913,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gpr88,38,5.342,73.68,False,False,-3.8153,9.1573,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grem1,38,0.126,2.63,False,False,-2.7507,2.8767,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grxcr2,38,0.0,0.0,False,False,-1.4627,1.4627,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Hsd11b1,38,0.1193,2.63,False,False,-1.0561,1.1754,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Htr3a,38,0.0,0.0,False,False,-6.2354,6.2354,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Igfbp2,38,0.0,0.0,False,False,-0.8233,0.8233,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Isl1,38,0.0,0.0,False,False,-7.4368,7.4368,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Itgal,38,0.0,0.0,False,False,-0.2922,0.2922,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Krt9,38,0.1438,2.63,False,False,-2.9912,3.135,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lamb3,38,0.5179,10.53,False,False,-3.508,4.0259,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lamp5,38,2.3548,39.47,False,False,-5.7098,8.0646,,,False
