region_user,cell_type_label,allen_subclass_anchor,role,n_cells,UNIQUE_separator_genes,BEST_separators_also_clean_in_whole_ROI,roi_contamination_warning,how_to_separate_from_siblings,needs_marker_combination,marker_combination_recipe,allen_name_embedded_markers_verified,shared_marker_genes,discriminating_markers_ranked,discriminating_markers_with_stats,GPCRs_enriched_in_this_subclass,cell_type_specific_GPCRs,intermediate_GPCRs,universal_GPCRs,n_unique_separators,n_specific_GPCRs,n_universal_GPCRs
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,012 MEA Slc17a7 Glut,target,3984,"Slc17a7, Nfib, Slc30a3, Chst9, Col23a1, Rorb, Crym, Slc29a4, Cck, Etv1, Abca8a, Tcf4",Slc29a4,"Slc17a7: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (9.42, 100%); Nfib: 037 DG Glut in same dissection is higher (10.47, 100%); Slc30a3: 013 COAp Grxcr2 Glut in same dissection is higher (7.16, 100%); Chst9: 064 STR-PAL Chst9 Gaba in same dissection is higher (8.22, 92%); Rorb: 013 COAp Grxcr2 Glut in same dissection is higher (7.69, 88%); Crym: 037 DG Glut in same dissection is higher (7.01, 92%); Cck: 047 Sncg Gaba in same dissection is higher (9.65, 99%); Etv1: 055 STR Lhx8 Gaba in same dissection is higher (9.31, 99%); Abca8a: 037 DG Glut in same dissection is higher (4.26, 63%); Tcf4: 050 Lamp5 Lhx6 Gaba in same dissection is higher (11.67, 100%)","vs 113 MEA-COA-BMA Ccdc42 Glut: Nfib, Slc17a7, Chst9",NO,,Slc17a7,,"Slc17a7, Nfib, Slc30a3, Chst9, Col23a1, Rorb, Crym, Slc29a4, Cck, Etv1, Abca8a, Tcf4","Slc17a7 (panel_spec=6.55, 94% of cells, UNIQUE_to_subclass); Nfib (panel_spec=5.42, 93% of cells, UNIQUE_to_subclass); Slc30a3 (panel_spec=4.82, 77% of cells, UNIQUE_to_subclass); Chst9 (panel_spec=4.18, 82% of cells, UNIQUE_to_subclass); Col23a1 (panel_spec=3.69, 80% of cells, UNIQUE_to_subclass); Rorb (panel_spec=3.31, 56% of cells, UNIQUE_to_subclass); Crym (panel_spec=3.18, 82% of cells, UNIQUE_to_subclass); Slc29a4 (panel_spec=2.66, 65% of cells, UNIQUE_to_subclass); Cck (panel_spec=2.65, 79% of cells, UNIQUE_to_subclass); Etv1 (panel_spec=2.62, 62% of cells, UNIQUE_to_subclass); Abca8a (panel_spec=1.68, 32% of cells, UNIQUE_to_subclass); Tcf4 (panel_spec=1.51, 99% of cells, UNIQUE_to_subclass)","Npy2r (panel_spec=2.69, 76%), Oxtr (panel_spec=2.00, 58%), Tacr1 (panel_spec=1.37, 62%)","Oxtr, Ntsr1",Tacr1,"Grm5, Gabbr2, Gabbr1, Grm1, Npy2r, Htr2c, Cnr1, Gpr88, Oprm1, Npy1r, Cckbr, Gpr101, Adcyap1r1, Crhr1, Sstr2, Htr1f, Htr1a",12,2,17
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,113 MEA-COA-BMA Ccdc42 Glut,target,9654,"Ccdc42, Penk, Krt9, Lamb3, Nrgn, Drd1, Zfp804b","Krt9, Lamb3","Penk: 062 STR D2 Gaba in same dissection is higher (9.23, 96%); Drd1: 061 STR D1 Gaba in same dissection is higher (7.67, 97%); Zfp804b: 051 Pvalb chandelier Gaba in same dissection is higher (11.59, 100%)","vs 012 MEA Slc17a7 Glut: Penk, Lamb3, Fezf1",NO,,Ccdc42,,"Ccdc42, Penk, Krt9, Lamb3, Nrgn, Drd1, Zfp804b","Ccdc42 (panel_spec=1.87, 48% of cells, UNIQUE_to_subclass); Penk (panel_spec=2.31, 76% of cells, UNIQUE_to_subclass); Krt9 (panel_spec=1.57, 53% of cells, UNIQUE_to_subclass); Lamb3 (panel_spec=1.51, 67% of cells, UNIQUE_to_subclass); Nrgn (panel_spec=0.74, 100% of cells, UNIQUE_to_subclass); Drd1 (panel_spec=0.68, 52% of cells, UNIQUE_to_subclass); Zfp804b (panel_spec=0.56, 89% of cells, UNIQUE_to_subclass)","Oprd1 (panel_spec=0.85, 36%), Drd1 (panel_spec=0.68, 52%)",Galr1,"Oprd1, Drd1, Htr1b, Oprk1","Grm5, Gabbr2, Gabbr1, Grm1, Htr2c, Oprm1, Npy1r, Adcyap1r1, Gpr101, Cckbr, Sstr2, Crhr1, Htr1f, Npy2r",7,1,14
BMAp,BMA/MEA VGLUT2-like excitatory,120 MEA Otp Foxp2 Glut,target,1504,"Foxp2, Otp, Trh, Calcrl, Fezf1, Nos1, Oprl1, Tshz2","Calcrl, Fezf1, Nos1","Foxp2: 063 STR D1 Sema5a Gaba in same dissection is higher (10.98, 99%); Otp: 131 LHA-AHN-PVH Otp Trh Glut in same dissection is higher (8.20, 98%); Oprl1: 131 LHA-AHN-PVH Otp Trh Glut in same dissection is higher (5.07, 85%); Tshz2: 084 BST-SI-AAA Six3 Slc22a3 Gaba in same dissection is higher (9.87, 100%)","vs 119 SI-MA-LPO-LHA Skor1 Glut: Foxp2, Otp, Calcrl; vs 121 MEA-BST Otp Zic2 Glut: Trh, Cck, Nxph4",NO,,"Foxp2, Otp",,"Foxp2, Otp, Trh, Calcrl, Fezf1, Nos1, Oprl1, Tshz2","Foxp2 (panel_spec=3.50, 99% of cells, UNIQUE_to_subclass); Otp (panel_spec=0.69, 98% of cells, UNIQUE_to_subclass); Trh (panel_spec=2.64, 64% of cells, UNIQUE_to_subclass); Calcrl (panel_spec=1.57, 68% of cells, UNIQUE_to_subclass); Fezf1 (panel_spec=1.31, 72% of cells, UNIQUE_to_subclass); Nos1 (panel_spec=0.76, 100% of cells, UNIQUE_to_subclass); Oprl1 (panel_spec=0.57, 78% of cells, UNIQUE_to_subclass); Tshz2 (panel_spec=0.56, 99% of cells, UNIQUE_to_subclass)","Htr2a (panel_spec=2.06, 70%), Htr2c (panel_spec=1.68, 98%), Sstr2 (panel_spec=1.14, 62%), Mc4r (panel_spec=1.06, 38%)",Mc4r,"Htr2a, Oprd1, Tacr1, Drd1","Grm5, Htr2c, Gabbr1, Gabbr2, Oprm1, Grm1, Gpr88, Npy1r, Adcyap1r1, Chrm2, Sstr2, Crhr1, Cckbr, Npy2r, Htr1f, Htr1a",8,1,16
BMAp,BMA/MEA VGLUT2-like excitatory,121 MEA-BST Otp Zic2 Glut,target,1255,"Sim1, Gfra1, Cd36, Pde1c, Sulf1",,"Sim1: 026 NLOT Rho Glut in same dissection is higher (9.13, 100%); Gfra1: 037 DG Glut in same dissection is higher (7.24, 93%); Pde1c: 061 STR D1 Gaba in same dissection is higher (9.00, 91%); Sulf1: 087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba in same dissection is higher (4.41, 62%)","vs 119 SI-MA-LPO-LHA Skor1 Glut: Otp, Sim1, Trhr; vs 120 MEA Otp Foxp2 Glut: Sim1, Zic2, Slc17a7",NO,,,,"Sim1, Gfra1, Cd36, Pde1c, Sulf1","Sim1 (panel_spec=5.62, 88% of cells, UNIQUE_to_subclass); Gfra1 (panel_spec=1.95, 64% of cells, UNIQUE_to_subclass); Cd36 (panel_spec=1.80, 53% of cells, UNIQUE_to_subclass); Pde1c (panel_spec=1.78, 59% of cells, UNIQUE_to_subclass); Sulf1 (panel_spec=0.58, 47% of cells, UNIQUE_to_subclass)",,"Hcrtr2, Mc4r","Htr1b, Tacr1","Grm5, Gabbr1, Gabbr2, Grm1, Htr2c, Adcyap1r1, Gpr101, Cnr1, Npy1r, Oprm1, Chrm2, Htr1f, Npy2r, Sstr2, Crhr1, Cckbr",5,2,16
BMAp,BMA/MEA VGLUT2-like excitatory,119 SI-MA-LPO-LHA Skor1 Glut,target,2180,"Skor1, Tbr1, Ptpru, Deptor, Nxph4, Npnt, Fst, Tle4, Drd2, Tspan18",Skor1,"Tbr1: 035 OB Eomes Ms4a15 Glut in same dissection is higher (7.89, 98%); Deptor: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (9.10, 100%); Nxph4: 117 LHA Barhl2 Glut in same dissection is higher (6.85, 94%); Npnt: 009 L2/3 IT PIR-ENTl Glut in same dissection is higher (5.18, 79%); Fst: 079 CEA-BST Six3 Cyp26b1 Gaba in same dissection is higher (1.89, 31%); Tle4: 077 CEA-BST Gal Avp Gaba in same dissection is higher (8.90, 100%); Drd2: 062 STR D2 Gaba in same dissection is higher (7.49, 94%); Tspan18: 077 CEA-BST Gal Avp Gaba in same dissection is higher (4.74, 77%)","vs 120 MEA Otp Foxp2 Glut: Tbr1, Nfib, Reln; vs 121 MEA-BST Otp Zic2 Glut: Tbr1, Nxph4, Skor1",NO,,Skor1,,"Skor1, Tbr1, Ptpru, Deptor, Nxph4, Npnt, Fst, Tle4, Drd2, Tspan18","Skor1 (panel_spec=3.14, 54% of cells, UNIQUE_to_subclass); Tbr1 (panel_spec=2.71, 77% of cells, UNIQUE_to_subclass); Ptpru (panel_spec=2.03, 78% of cells, UNIQUE_to_subclass); Deptor (panel_spec=1.49, 53% of cells, UNIQUE_to_subclass); Nxph4 (panel_spec=1.46, 65% of cells, UNIQUE_to_subclass); Npnt (panel_spec=1.34, 34% of cells, UNIQUE_to_subclass); Fst (panel_spec=1.19, 25% of cells, UNIQUE_to_subclass); Tle4 (panel_spec=1.10, 90% of cells, UNIQUE_to_subclass); Drd2 (panel_spec=1.07, 29% of cells, UNIQUE_to_subclass); Tspan18 (panel_spec=0.96, 27% of cells, UNIQUE_to_subclass)","Drd2 (panel_spec=1.07, 29%), Grm1 (panel_spec=0.98, 97%), Chrm2 (panel_spec=0.94, 58%), Htr1f (panel_spec=0.65, 55%)","Drd2, Hcrtr2, Ntsr1","Oprk1, Tacr1, Htr2a","Grm5, Grm1, Gabbr1, Gabbr2, Htr2c, Chrm2, Cnr1, Adcyap1r1, Oprm1, Htr1f, Gpr88, Npy2r, Htr1a",10,3,13
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,073 MEA-BST Sox6 Gaba,neighbor_control,8705,"Sox6, Prox1, Sp8",,"Sox6: 056 Sst Chodl Gaba in same dissection is higher (10.43, 100%); Prox1: 037 DG Glut in same dissection is higher (8.55, 99%); Sp8: 093 RT-ZI Gnb3 Gaba in same dissection is higher (4.31, 79%)","vs 074 MEA-BST Lhx6 Sp9 Gaba: Prox1, Nfib, Sp8; vs 082 CEA-BST Ebf1 Pdyn Gaba: Sox6, Prox1, Nfib",NO,,Sox6,,"Sox6, Prox1, Sp8","Sox6 (panel_spec=1.22, 58% of cells, UNIQUE_to_subclass); Prox1 (panel_spec=2.76, 57% of cells, UNIQUE_to_subclass); Sp8 (panel_spec=1.85, 32% of cells, UNIQUE_to_subclass)",,Galr1,"Oprk1, Tacr3, Htr1b, Drd1, Htr2a","Grm5, Gabbr1, Gabbr2, Grm1, Htr2c, Adcyap1r1, Oprm1, Gpr88, Cnr1, Npy2r, Htr1f, Crhr1, Chrm2, Sstr2, Cckbr, Gpr101, Htr1a, Npy1r",3,1,18
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,074 MEA-BST Lhx6 Sp9 Gaba,neighbor_control,6461,"Lhx6, Sp9, Nr2e1, Whrn, Slc6a1, Cartpt, Adarb2",,"Lhx6: 056 Sst Chodl Gaba in same dissection is higher (8.52, 99%); Sp9: 054 STR Prox1 Lhx6 Gaba in same dissection is higher (6.27, 90%); Nr2e1: 075 MEA-BST Lhx6 Nr2e1 Gaba in same dissection is higher (5.66, 84%); Whrn: 118 ADP-MPO Trp73 Glut in same dissection is higher (6.55, 94%); Slc6a1: 050 Lamp5 Lhx6 Gaba in same dissection is higher (11.45, 100%); Cartpt: 076 MEA-BST Lhx6 Nfib Gaba in same dissection is higher (6.40, 70%); Adarb2: 047 Sncg Gaba in same dissection is higher (13.34, 100%)","vs 073 MEA-BST Sox6 Gaba: Lhx6, Sp9, Lpl; vs 082 CEA-BST Ebf1 Pdyn Gaba: Lhx6, Sp9, Sox6",NO,,"Lhx6, Sp9",,"Lhx6, Sp9, Nr2e1, Whrn, Slc6a1, Cartpt, Adarb2","Lhx6 (panel_spec=5.90, 89% of cells, UNIQUE_to_subclass); Sp9 (panel_spec=4.42, 79% of cells, UNIQUE_to_subclass); Nr2e1 (panel_spec=2.43, 59% of cells, UNIQUE_to_subclass); Whrn (panel_spec=0.79, 67% of cells, UNIQUE_to_subclass); Slc6a1 (panel_spec=0.73, 99% of cells, UNIQUE_to_subclass); Cartpt (panel_spec=0.67, 36% of cells, UNIQUE_to_subclass); Adarb2 (panel_spec=0.60, 94% of cells, UNIQUE_to_subclass)",,,"Tacr3, Oprk1, Oprd1, Htr2a","Grm5, Gabbr1, Gabbr2, Grm1, Oprm1, Htr2c, Adcyap1r1, Crhr1, Gpr101, Chrm2, Gpr88, Htr1f, Cnr1, Npy1r, Htr1a",7,0,15
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,082 CEA-BST Ebf1 Pdyn Gaba,neighbor_control,6966,"Ebf1, Pdyn, Isl1, Meis2, Sst, Zfhx3, Syndig1l, Mpped1, Gabre, Vat1l, Gpr101, Bcl11b",,"Ebf1: 061 STR D1 Gaba in same dissection is higher (6.92, 83%); Pdyn: 061 STR D1 Gaba in same dissection is higher (9.15, 97%); Isl1: 093 RT-ZI Gnb3 Gaba in same dissection is higher (7.44, 100%); Meis2: 063 STR D1 Sema5a Gaba in same dissection is higher (11.39, 100%); Sst: 056 Sst Chodl Gaba in same dissection is higher (11.16, 97%); Zfhx3: 077 CEA-BST Gal Avp Gaba in same dissection is higher (10.82, 100%); Syndig1l: 061 STR D1 Gaba in same dissection is higher (6.38, 90%); Mpped1: 049 Lamp5 Gaba in same dissection is higher (8.46, 98%); Gabre: 077 CEA-BST Gal Avp Gaba in same dissection is higher (6.72, 92%); Vat1l: 079 CEA-BST Six3 Cyp26b1 Gaba in same dissection is higher (8.87, 99%); Gpr101: 122 LHA-MEA Otp Glut in same dissection is higher (6.99, 92%); Bcl11b: 061 STR D1 Gaba in same dissection is higher (9.32, 100%)","vs 073 MEA-BST Sox6 Gaba: Ebf1, Isl1, Syndig1l; vs 074 MEA-BST Lhx6 Sp9 Gaba: Ebf1, Pdyn, Isl1",NO,,"Ebf1, Pdyn",,"Ebf1, Pdyn, Isl1, Meis2, Sst, Zfhx3, Syndig1l, Mpped1, Gabre, Vat1l, Gpr101, Bcl11b","Ebf1 (panel_spec=4.77, 73% of cells, UNIQUE_to_subclass); Pdyn (panel_spec=2.12, 63% of cells, UNIQUE_to_subclass); Isl1 (panel_spec=3.60, 55% of cells, UNIQUE_to_subclass); Meis2 (panel_spec=2.42, 92% of cells, UNIQUE_to_subclass); Sst (panel_spec=2.11, 52% of cells, UNIQUE_to_subclass); Zfhx3 (panel_spec=1.92, 100% of cells, UNIQUE_to_subclass); Syndig1l (panel_spec=1.32, 46% of cells, UNIQUE_to_subclass); Mpped1 (panel_spec=1.15, 93% of cells, UNIQUE_to_subclass); Gabre (panel_spec=0.95, 32% of cells, UNIQUE_to_subclass); Vat1l (panel_spec=0.92, 98% of cells, UNIQUE_to_subclass); Gpr101 (panel_spec=0.92, 79% of cells, UNIQUE_to_subclass); Bcl11b (panel_spec=0.86, 98% of cells, UNIQUE_to_subclass)","Cnr1 (panel_spec=1.32, 83%), Gpr101 (panel_spec=0.92, 79%), Tacr3 (panel_spec=0.56, 30%)",Oxtr,"Tacr3, Htr1b, Drd1, Oprk1, Tacr1","Grm5, Gabbr1, Gabbr2, Htr2c, Grm1, Gpr101, Cnr1, Oprm1, Gpr88, Adcyap1r1, Htr1f, Npy1r, Sstr2, Crhr1, Chrm2, Htr1a, Cckbr",12,1,17
