region_user,cell_type_label,role,cluster,subclass,supertype,n_cells_in_cluster,n_pos_markers_total,n_pos_markers_in_data,n_neg_markers_in_data,mean_pos_log2,mean_neg_log2,pct_pos_avg,pct_neg_avg,n_pos_above_30pct,frac_pos_above_30pct,net_score,specificity,rank_within_celltype
LM,Nearby hypothalamic exclusion populations,neighbor_control,1876 PVpo-VMPO-MPN Hmx2 Gaba_1,106 PVpo-VMPO-MPN Hmx2 Gaba,0482 PVpo-VMPO-MPN Hmx2 Gaba_1,61,15,15,5,1.6897,0.0704,23.28,1.31,5,0.333,1.7859,9.9134,3
LM,Nearby hypothalamic exclusion populations,neighbor_control,1955 DMH Hmx2 Gaba_5,107 DMH Hmx2 Gaba,0491 DMH Hmx2 Gaba_5,190,15,15,5,1.7859,0.1497,22.21,2.84,3,0.2,1.7362,7.1518,4
LM,Nearby hypothalamic exclusion populations,neighbor_control,1870 PVpo-VMPO-MPN Hmx2 Gaba_1,106 PVpo-VMPO-MPN Hmx2 Gaba,0482 PVpo-VMPO-MPN Hmx2 Gaba_1,94,15,15,5,1.7218,0.168,22.91,3.19,3,0.2,1.6538,6.4244,5
RE,Midline thalamic glutamatergic / reuniens,target,2701 RE-Xi Nox4 Glut_3,152 RE-Xi Nox4 Glut,0670 RE-Xi Nox4 Glut_3,58,4,4,13,7.4347,0.8298,88.36,11.67,4,1.0,7.105,7.9964,1
RE,Midline thalamic glutamatergic / reuniens,target,2702 RE-Xi Nox4 Glut_3,152 RE-Xi Nox4 Glut,0670 RE-Xi Nox4 Glut_3,58,4,4,13,7.463,1.2437,89.66,17.51,4,1.0,6.7193,5.5542,2
RE,Midline thalamic glutamatergic / reuniens,target,2703 RE-Xi Nox4 Glut_4,152 RE-Xi Nox4 Glut,0671 RE-Xi Nox4 Glut_4,152,4,4,13,6.6685,0.6163,81.74,9.67,4,1.0,6.5522,9.31,3
RE,Midline thalamic glutamatergic / reuniens,target,2691 RE-Xi Nox4 Glut_1,152 RE-Xi Nox4 Glut,0668 RE-Xi Nox4 Glut_1,294,4,4,13,6.9519,1.021,80.95,13.79,4,1.0,6.4308,6.2012,4
RE,Midline thalamic glutamatergic / reuniens,target,2698 RE-Xi Nox4 Glut_3,152 RE-Xi Nox4 Glut,0670 RE-Xi Nox4 Glut_3,793,4,4,13,7.6688,1.8076,90.45,23.9,4,1.0,6.3613,4.0202,5
RE,Reticular/inhibitory thalamic exclusion,neighbor_control,1592 RT-ZI Gnb3 Gaba_3,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,496,7,7,5,6.6825,1.5571,71.2,24.68,6,0.857,5.554,4.0328,1
RE,Reticular/inhibitory thalamic exclusion,neighbor_control,1604 RT-ZI Gnb3 Gaba_5,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,159,7,7,5,6.7576,1.6887,67.92,27.3,6,0.857,5.4974,3.7779,2
RE,Reticular/inhibitory thalamic exclusion,neighbor_control,1594 RT-ZI Gnb3 Gaba_3,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,83,7,7,5,6.4464,1.3998,70.74,23.13,6,0.857,5.4752,4.2983,3
RE,Reticular/inhibitory thalamic exclusion,neighbor_control,1593 RT-ZI Gnb3 Gaba_3,093 RT-ZI Gnb3 Gaba,0433 RT-ZI Gnb3 Gaba_3,1284,7,7,5,6.5799,1.5941,70.32,25.33,6,0.857,5.4144,3.8841,4
RE,Reticular/inhibitory thalamic exclusion,neighbor_control,1601 RT-ZI Gnb3 Gaba_5,093 RT-ZI Gnb3 Gaba,0435 RT-ZI Gnb3 Gaba_5,938,7,7,5,6.5652,1.6852,69.08,26.61,6,0.857,5.3086,3.6776,5
