gene,block,panel
Rbp4,9_published_regional,C246_Adrb1
Mpped1,9_published_regional,C246_Adrb1
Calb1,9_published_regional,C246_Adrb1
Scn5a,9_published_regional,C246_Adrb1
Cd44,9_published_regional,C246_Adrb1
Bhlhe22,8_TF_identity,C246_Adrb1
Nts,9_published_regional,C246_Adrb1
Slc6a3,11_class_backbone_optional,C246_Adrb1
Col23a1,12_GSE283418_added,C246_Adrb1
Slc29a4,12_GSE283418_added,C246_Adrb1
Cck,12_GSE283418_added,C246_Adrb1
Gfra1,12_GSE283418_added,C246_Adrb1
Sp8,12_GSE283418_added,C246_Adrb1
Abca8a,12_GSE283418_added,C246_Adrb1
Calcrl,12_GSE283418_added,C246_Adrb1
Lamb3,12_GSE283418_added,C246_Adrb1
Syndig1l,12_GSE283418_added,C246_Adrb1
Tspan18,12_GSE283418_added,C246_Adrb1
Gabre,12_GSE283418_added,C246_Adrb1
Nos1,12_GSE283418_added,C246_Adrb1
Oprl1,12_GSE283418_added,C246_Adrb1
Dnah5,12_GSE283418_added,C246_Adrb1
Per2,13_Jesse_morphine_state,C246_Adrb1
Pcsk1,13_Jesse_morphine_state,C246_Adrb1
Per1,13_Jesse_morphine_state,C246_Adrb1
Camk2g,13_Jesse_morphine_state,C246_Adrb1
Bhlhe40,13_Jesse_morphine_state,C246_Adrb1
Sema3e,13_Jesse_morphine_state,C246_Adrb1
Chrm1,14_Jesse_ORB_GPCR,C246_Adrb1
Grm8,14_Jesse_ORB_GPCR,C246_Adrb1
Gpr26,14_Jesse_ORB_GPCR,C246_Adrb1
Rxfp1,14_Jesse_ORB_GPCR,C246_Adrb1
Arid5b,16_expanded_morphine_state,C246_Adrb1
Tiparp,16_expanded_morphine_state,C246_Adrb1
Banp,16_expanded_morphine_state,C246_Adrb1
Fxr1,16_expanded_morphine_state,C246_Adrb1
Maml3,16_expanded_morphine_state,C246_Adrb1
Vps13a,16_expanded_morphine_state,C246_Adrb1
Chd2,16_expanded_morphine_state,C246_Adrb1
Dusp1,16_expanded_morphine_state,C246_Adrb1
Hunk,16_expanded_morphine_state,C246_Adrb1
Klf10,16_expanded_morphine_state,C246_Adrb1
Zbtb25,16_expanded_morphine_state,C246_Adrb1
Zbtb40,16_expanded_morphine_state,C246_Adrb1
Zfp46,16_expanded_morphine_state,C246_Adrb1
Zfp641,16_expanded_morphine_state,C246_Adrb1
Nr4a3,16_expanded_morphine_state,C246_Adrb1
Crem,16_expanded_morphine_state,C246_Adrb1
Egr3,16_expanded_morphine_state,C246_Adrb1
Egr4,16_expanded_morphine_state,C246_Adrb1
Chrd,16_expanded_morphine_state,C246_Adrb1
Etv5,16_expanded_morphine_state,C246_Adrb1
Hsf5,16_expanded_morphine_state,C246_Adrb1
Omg,16_expanded_morphine_state,C246_Adrb1
Sox8,16_expanded_morphine_state,C246_Adrb1
Stk40,16_expanded_morphine_state,C246_Adrb1
Zfp580,16_expanded_morphine_state,C246_Adrb1
Zkscan16,16_expanded_morphine_state,C246_Adrb1
Fosl2,16_expanded_morphine_state,C246_Adrb1
Hrh1,16_expanded_morphine_state,C246_Adrb1
Mbnl2,16_expanded_morphine_state,C246_Adrb1
Kitl,16_expanded_morphine_state,C246_Adrb1
Acsl4,16_expanded_morphine_state,C246_Adrb1
Ahctf1,16_expanded_morphine_state,C246_Adrb1
Dusp4,16_expanded_morphine_state,C246_Adrb1
Dusp5,16_expanded_morphine_state,C246_Adrb1
E2f6,16_expanded_morphine_state,C246_Adrb1
Ep300,16_expanded_morphine_state,C246_Adrb1
Fhl2,16_expanded_morphine_state,C246_Adrb1
Gabpa,16_expanded_morphine_state,C246_Adrb1
Gpr63,16_expanded_morphine_state,C246_Adrb1
Hivep1,16_expanded_morphine_state,C246_Adrb1
Hsd17b12,16_expanded_morphine_state,C246_Adrb1
Hspa5,16_expanded_morphine_state,C246_Adrb1
Smad5,16_expanded_morphine_state,C246_Adrb1
Sox12,16_expanded_morphine_state,C246_Adrb1
Zdbf2,16_expanded_morphine_state,C246_Adrb1
Zfp933,16_expanded_morphine_state,C246_Adrb1
Zhx2,16_expanded_morphine_state,C246_Adrb1
Zkscan2,16_expanded_morphine_state,C246_Adrb1
Mas1,17_expanded_ORB_GPCR,C246_Adrb1
Mchr1,17_expanded_ORB_GPCR,C246_Adrb1
Adra1a,17_expanded_ORB_GPCR,C246_Adrb1
Gpr68,17_expanded_ORB_GPCR,C246_Adrb1
Gpr3,17_expanded_ORB_GPCR,C246_Adrb1
Chrm3,17_expanded_ORB_GPCR,C246_Adrb1
Hrh3,17_expanded_ORB_GPCR,C246_Adrb1
Gpr22,17_expanded_ORB_GPCR,C246_Adrb1
Adra1b,17_expanded_ORB_GPCR,C246_Adrb1
Htr6,17_expanded_ORB_GPCR,C246_Adrb1
Sstr4,17_expanded_ORB_GPCR,C246_Adrb1
S1pr3,17_expanded_ORB_GPCR,C246_Adrb1
Gpr12,17_expanded_ORB_GPCR,C246_Adrb1
Vipr2,18_expanded_BMAp,C246_Adrb1
Sfrp1,18_expanded_BMAp,C246_Adrb1
Glipr1,18_expanded_BMAp,C246_Adrb1
Vdr,18_expanded_BMAp,C246_Adrb1
Mgp,18_expanded_BMAp,C246_Adrb1
Ctxn3,18_expanded_BMAp,C246_Adrb1
Rasa4,18_expanded_BMAp,C246_Adrb1
Upk1b,18_expanded_BMAp,C246_Adrb1
