gene,block,panel
Klf10,16_expanded_morphine_state,C245
Zbtb25,16_expanded_morphine_state,C245
Zbtb40,16_expanded_morphine_state,C245
Zfp46,16_expanded_morphine_state,C245
Zfp641,16_expanded_morphine_state,C245
Nr4a3,16_expanded_morphine_state,C245
Crem,16_expanded_morphine_state,C245
Egr3,16_expanded_morphine_state,C245
Egr4,16_expanded_morphine_state,C245
Chrd,16_expanded_morphine_state,C245
Etv5,16_expanded_morphine_state,C245
Hsf5,16_expanded_morphine_state,C245
Omg,16_expanded_morphine_state,C245
Sox8,16_expanded_morphine_state,C245
Stk40,16_expanded_morphine_state,C245
Zfp580,16_expanded_morphine_state,C245
Zkscan16,16_expanded_morphine_state,C245
Fosl2,16_expanded_morphine_state,C245
Hrh1,16_expanded_morphine_state,C245
Mbnl2,16_expanded_morphine_state,C245
Kitl,16_expanded_morphine_state,C245
Acsl4,16_expanded_morphine_state,C245
Ahctf1,16_expanded_morphine_state,C245
Dusp4,16_expanded_morphine_state,C245
Dusp5,16_expanded_morphine_state,C245
E2f6,16_expanded_morphine_state,C245
Ep300,16_expanded_morphine_state,C245
Fhl2,16_expanded_morphine_state,C245
Gabpa,16_expanded_morphine_state,C245
Gpr63,16_expanded_morphine_state,C245
Hivep1,16_expanded_morphine_state,C245
Hsd17b12,16_expanded_morphine_state,C245
Hspa5,16_expanded_morphine_state,C245
Smad5,16_expanded_morphine_state,C245
Sox12,16_expanded_morphine_state,C245
Zdbf2,16_expanded_morphine_state,C245
Zfp933,16_expanded_morphine_state,C245
Zhx2,16_expanded_morphine_state,C245
Zkscan2,16_expanded_morphine_state,C245
Mas1,17_expanded_ORB_GPCR,C245
Mchr1,17_expanded_ORB_GPCR,C245
Adra1a,17_expanded_ORB_GPCR,C245
Gpr68,17_expanded_ORB_GPCR,C245
Gpr3,17_expanded_ORB_GPCR,C245
Chrm3,17_expanded_ORB_GPCR,C245
Hrh3,17_expanded_ORB_GPCR,C245
Gpr22,17_expanded_ORB_GPCR,C245
Adra1b,17_expanded_ORB_GPCR,C245
Htr6,17_expanded_ORB_GPCR,C245
Sstr4,17_expanded_ORB_GPCR,C245
S1pr3,17_expanded_ORB_GPCR,C245
Gpr12,17_expanded_ORB_GPCR,C245
Vipr2,18_expanded_BMAp,C245
Sfrp1,18_expanded_BMAp,C245
Glipr1,18_expanded_BMAp,C245
Vdr,18_expanded_BMAp,C245
Mgp,18_expanded_BMAp,C245
Ctxn3,18_expanded_BMAp,C245
Rasa4,18_expanded_BMAp,C245
Upk1b,18_expanded_BMAp,C245
C1ql1,18_expanded_BMAp,C245
C1ql2,18_expanded_BMAp,C245
Rbms3,18_expanded_BMAp,C245
Pnoc,18_expanded_BMAp,C245
Maf,19_expanded_L5IT_separator,C245
Ptpru,19_expanded_L5IT_separator,C245
Rai14,19_expanded_L5IT_separator,C245
Sema5a,19_expanded_L5IT_separator,C245
Sema5b,19_expanded_L5IT_separator,C245
Thsd7b,19_expanded_L5IT_separator,C245
