gene,block,panel
Tspan18,12_GSE283418_added,MSGS168
Gabre,12_GSE283418_added,MSGS168
Nos1,12_GSE283418_added,MSGS168
Oprl1,12_GSE283418_added,MSGS168
Dnah5,12_GSE283418_added,MSGS168
Per2,13_Jesse_morphine_state,MSGS168
Pcsk1,13_Jesse_morphine_state,MSGS168
Per1,13_Jesse_morphine_state,MSGS168
Camk2g,13_Jesse_morphine_state,MSGS168
Bhlhe40,13_Jesse_morphine_state,MSGS168
Sema3e,13_Jesse_morphine_state,MSGS168
Chrm1,14_Jesse_ORB_GPCR,MSGS168
Grm8,14_Jesse_ORB_GPCR,MSGS168
Gpr26,14_Jesse_ORB_GPCR,MSGS168
Rxfp1,14_Jesse_ORB_GPCR,MSGS168
