gene,block,panel
Bhlhe40,4_TF,IDEAL178
Chd2,4_TF,IDEAL178
Klf10,4_TF,IDEAL178
Satb2,4_TF,IDEAL178
Foxp1,4_TF,IDEAL178
Neurod6,4_TF,IDEAL178
iCre,5_TRAP_reporter,IDEAL178
tdTomato,5_TRAP_reporter,IDEAL178
Arc,6_IEG,IDEAL178
Crem,6_IEG,IDEAL178
Dusp1,6_IEG,IDEAL178
Dusp4,6_IEG,IDEAL178
Dusp5,6_IEG,IDEAL178
Egr1,6_IEG,IDEAL178
Egr3,6_IEG,IDEAL178
Egr4,6_IEG,IDEAL178
Fos,6_IEG,IDEAL178
Fosb,6_IEG,IDEAL178
Fosl2,6_IEG,IDEAL178
Jun,6_IEG,IDEAL178
Junb,6_IEG,IDEAL178
Npas4,6_IEG,IDEAL178
Nr4a1,6_IEG,IDEAL178
Nr4a2,6_IEG,IDEAL178
Nr4a3,6_IEG,IDEAL178
Per1,6_IEG,IDEAL178
Per2,6_IEG,IDEAL178
Pcsk1,7_morphine_ORBm_BMAp,IDEAL178
Sema3e,7_morphine_ORBm_BMAp,IDEAL178
Tiparp,7_morphine_ORBm_BMAp,IDEAL178
