gene,block,panel
Vip,1_celltype_separator,v6_232
Tshz2,1_celltype_separator,v6_232
Sst,1_celltype_separator,v6_232
Slc17a7,1_celltype_separator,v6_232
Lhx6,1_celltype_separator,v6_232
Sim1,1_celltype_separator,v6_232
Pvalb,1_celltype_separator,v6_232
Ebf1,1_celltype_separator,v6_232
Nxph4,1_celltype_separator,v6_232
Pou3f1,1_celltype_separator,v6_232
Syt6,1_celltype_separator,v6_232
Foxp2,1_celltype_separator,v6_232
Skor1,1_celltype_separator,v6_232
Otof,1_celltype_separator,v6_232
Rorb,1_celltype_separator,v6_232
Oprk1,1_celltype_separator,v6_232
Ccdc42,1_celltype_separator,v6_232
Lamp5,1_celltype_separator,v6_232
Sox6,1_celltype_separator,v6_232
Bdnf,1_celltype_separator,v6_232
Tac1,1_celltype_separator,v6_232
Nfib,1_celltype_separator,v6_232
Cbln1,1_celltype_separator,v6_232
Tcf7l2,1_celltype_separator,v6_232
Sp9,1_celltype_separator,v6_232
Ndnf,1_celltype_separator,v6_232
Trhr,1_celltype_separator,v6_232
Calb2,1_celltype_separator,v6_232
Ccn2,1_celltype_separator,v6_232
Npr3,1_celltype_separator,v6_232
Prox1,1_celltype_separator,v6_232
Penk,1_celltype_separator,v6_232
Baiap3,1_celltype_separator,v6_232
Pdyn,1_celltype_separator,v6_232
Rspo2,1_celltype_separator,v6_232
Cux2,1_celltype_separator,v6_232
Coch,1_celltype_separator,v6_232
Otp,1_celltype_separator,v6_232
iCre,2_reporter_transgene,v6_232
tdTomato,2_reporter_transgene,v6_232
Slc17a6,3_class_backbone,v6_232
Gad2,3_class_backbone,v6_232
Gad1,3_class_backbone,v6_232
Slc32a1,3_class_backbone,v6_232
Npy2r,4_GPCR_cell_type_specific,v6_232
Oxtr,4_GPCR_cell_type_specific,v6_232
Drd2,4_GPCR_cell_type_specific,v6_232
Mc4r,4_GPCR_cell_type_specific,v6_232
Gpr88,4_GPCR_cell_type_specific,v6_232
Hcrtr2,4_GPCR_cell_type_specific,v6_232
Tacr1,4_GPCR_cell_type_specific,v6_232
Homer1,5_IEG,v6_232
Egr1,5_IEG,v6_232
Arc,5_IEG,v6_232
Fos,5_IEG,v6_232
Fosb,5_IEG,v6_232
Npas4,5_IEG,v6_232
Oprm1,6_GPCR_druggable,v6_232
Gria1,7_plasticity,v6_232
Gria2,7_plasticity,v6_232
Camk2a,7_plasticity,v6_232
Grin1,7_plasticity,v6_232
Ppp1r1b,7_plasticity,v6_232
Isl1,8_TF_identity,v6_232
Dlx1,8_TF_identity,v6_232
Bcl11b,8_TF_identity,v6_232
Satb2,8_TF_identity,v6_232
Fezf2,8_TF_identity,v6_232
Zic2,8_TF_identity,v6_232
Cartpt,9_published_regional,v6_232
Htr2c,9_published_regional,v6_232
Pld5,9_published_regional,v6_232
Fezf1,9_published_regional,v6_232
Crh,9_published_regional,v6_232
Neurod2,1_celltype_separator,v6_232
Sox5,1_celltype_separator,v6_232
Tac2,1_celltype_separator,v6_232
Npy,1_celltype_separator,v6_232
Zic1,1_celltype_separator,v6_232
Trh,1_celltype_separator,v6_232
Rprm,1_celltype_separator,v6_232
Lratd2,1_celltype_separator,v6_232
Nr2e1,1_celltype_separator,v6_232
Matn2,1_celltype_separator,v6_232
Drd1,1_celltype_separator,v6_232
Nptx2,1_celltype_separator,v6_232
Krt9,1_celltype_separator,v6_232
Rgs9,1_celltype_separator,v6_232
Cnih3,1_celltype_separator,v6_232
Snap25,3_class_backbone,v6_232
Rbfox3,3_class_backbone,v6_232
Mbp,3_class_backbone,v6_232
Nr4a1,5_IEG,v6_232
Junb,5_IEG,v6_232
Nr4a2,5_IEG,v6_232
Chrm2,6_GPCR_druggable,v6_232
Cnr1,6_GPCR_druggable,v6_232
Htr2a,6_GPCR_druggable,v6_232
Oprd1,6_GPCR_druggable,v6_232
Sstr2,6_GPCR_druggable,v6_232
Htr1f,6_GPCR_druggable,v6_232
Npy1r,6_GPCR_druggable,v6_232
Grm1,6_GPCR_druggable,v6_232
Gpr101,6_GPCR_druggable,v6_232
Crhr1,6_GPCR_druggable,v6_232
Grm5,6_GPCR_druggable,v6_232
