gene,block,panel
Bhlhe40,13_Jesse_morphine_state,standalone246
Sema3e,13_Jesse_morphine_state,standalone246
Chrm1,14_Jesse_ORB_GPCR,standalone246
Grm8,14_Jesse_ORB_GPCR,standalone246
Gpr26,14_Jesse_ORB_GPCR,standalone246
Rxfp1,14_Jesse_ORB_GPCR,standalone246
Arid5b,16_expanded_morphine_state,standalone246
Tiparp,16_expanded_morphine_state,standalone246
Banp,16_expanded_morphine_state,standalone246
Fxr1,16_expanded_morphine_state,standalone246
Maml3,16_expanded_morphine_state,standalone246
Vps13a,16_expanded_morphine_state,standalone246
Chd2,16_expanded_morphine_state,standalone246
Dusp1,16_expanded_morphine_state,standalone246
Hunk,16_expanded_morphine_state,standalone246
Klf10,16_expanded_morphine_state,standalone246
Zbtb25,16_expanded_morphine_state,standalone246
Zbtb40,16_expanded_morphine_state,standalone246
Zfp46,16_expanded_morphine_state,standalone246
Zfp641,16_expanded_morphine_state,standalone246
Nr4a3,16_expanded_morphine_state,standalone246
Crem,16_expanded_morphine_state,standalone246
Egr3,16_expanded_morphine_state,standalone246
Egr4,16_expanded_morphine_state,standalone246
Chrd,16_expanded_morphine_state,standalone246
Etv5,16_expanded_morphine_state,standalone246
Hsf5,16_expanded_morphine_state,standalone246
Omg,16_expanded_morphine_state,standalone246
Sox8,16_expanded_morphine_state,standalone246
Stk40,16_expanded_morphine_state,standalone246
Zfp580,16_expanded_morphine_state,standalone246
Zkscan16,16_expanded_morphine_state,standalone246
Fosl2,16_expanded_morphine_state,standalone246
Hrh1,16_expanded_morphine_state,standalone246
Mbnl2,16_expanded_morphine_state,standalone246
Kitl,16_expanded_morphine_state,standalone246
Acsl4,16_expanded_morphine_state,standalone246
Ahctf1,16_expanded_morphine_state,standalone246
Dusp4,16_expanded_morphine_state,standalone246
Dusp5,16_expanded_morphine_state,standalone246
E2f6,16_expanded_morphine_state,standalone246
Ep300,16_expanded_morphine_state,standalone246
Fhl2,16_expanded_morphine_state,standalone246
Gabpa,16_expanded_morphine_state,standalone246
Gpr63,16_expanded_morphine_state,standalone246
Hivep1,16_expanded_morphine_state,standalone246
Hsd17b12,16_expanded_morphine_state,standalone246
Hspa5,16_expanded_morphine_state,standalone246
Smad5,16_expanded_morphine_state,standalone246
Sox12,16_expanded_morphine_state,standalone246
Zdbf2,16_expanded_morphine_state,standalone246
Zfp933,16_expanded_morphine_state,standalone246
Zhx2,16_expanded_morphine_state,standalone246
Zkscan2,16_expanded_morphine_state,standalone246
Mas1,17_expanded_ORB_GPCR,standalone246
Mchr1,17_expanded_ORB_GPCR,standalone246
Adra1a,17_expanded_ORB_GPCR,standalone246
Gpr68,17_expanded_ORB_GPCR,standalone246
Gpr3,17_expanded_ORB_GPCR,standalone246
Chrm3,17_expanded_ORB_GPCR,standalone246
Hrh3,17_expanded_ORB_GPCR,standalone246
Gpr22,17_expanded_ORB_GPCR,standalone246
Adra1b,17_expanded_ORB_GPCR,standalone246
Htr6,17_expanded_ORB_GPCR,standalone246
Sstr4,17_expanded_ORB_GPCR,standalone246
S1pr3,17_expanded_ORB_GPCR,standalone246
Gpr12,17_expanded_ORB_GPCR,standalone246
Vipr2,18_expanded_BMAp,standalone246
Sfrp1,18_expanded_BMAp,standalone246
Glipr1,18_expanded_BMAp,standalone246
Vdr,18_expanded_BMAp,standalone246
Mgp,18_expanded_BMAp,standalone246
Ctxn3,18_expanded_BMAp,standalone246
Rasa4,18_expanded_BMAp,standalone246
Upk1b,18_expanded_BMAp,standalone246
C1ql1,18_expanded_BMAp,standalone246
C1ql2,18_expanded_BMAp,standalone246
Rbms3,18_expanded_BMAp,standalone246
Pnoc,18_expanded_BMAp,standalone246
Maf,19_expanded_L5IT_separator,standalone246
Ptpru,19_expanded_L5IT_separator,standalone246
Rai14,19_expanded_L5IT_separator,standalone246
Sema5a,19_expanded_L5IT_separator,standalone246
Sema5b,19_expanded_L5IT_separator,standalone246
Thsd7b,19_expanded_L5IT_separator,standalone246
Adrb1,15_SOW_ITCT_GPCR,standalone246
