gene,block,panel
Egr4,16_expanded_morphine_state,v8_237
Etv5,16_expanded_morphine_state,v8_237
Sox8,16_expanded_morphine_state,v8_237
Stk40,16_expanded_morphine_state,v8_237
Zkscan16,16_expanded_morphine_state,v8_237
Fosl2,16_expanded_morphine_state,v8_237
Hrh1,16_expanded_morphine_state,v8_237
Kitl,16_expanded_morphine_state,v8_237
Dusp4,16_expanded_morphine_state,v8_237
Dusp5,16_expanded_morphine_state,v8_237
E2f6,16_expanded_morphine_state,v8_237
Ep300,16_expanded_morphine_state,v8_237
Fhl2,16_expanded_morphine_state,v8_237
Hivep1,16_expanded_morphine_state,v8_237
Smad5,16_expanded_morphine_state,v8_237
Zhx2,16_expanded_morphine_state,v8_237
Zkscan2,16_expanded_morphine_state,v8_237
Adra1a,17_expanded_ORB_GPCR,v8_237
Chrm3,17_expanded_ORB_GPCR,v8_237
Hrh3,17_expanded_ORB_GPCR,v8_237
Gpr22,17_expanded_ORB_GPCR,v8_237
Adra1b,17_expanded_ORB_GPCR,v8_237
Pnoc,18_expanded_BMAp,v8_237
Maf,19_expanded_L5IT_separator,v8_237
Ptpru,19_expanded_L5IT_separator,v8_237
Rai14,19_expanded_L5IT_separator,v8_237
Sema5a,19_expanded_L5IT_separator,v8_237
Sema5b,19_expanded_L5IT_separator,v8_237
Thsd7b,19_expanded_L5IT_separator,v8_237
Adrb1,14_Jesse_ORB_GPCR,v8_237
Syt1,4b_class_backbone,v8_237
Slc6a1,4b_class_backbone,v8_237
Slc1a2,4b_class_backbone,v8_237
Scg2,4c_activity,v8_237
Vgf,4c_activity,v8_237
Rgs2,4c_activity,v8_237
Sgk1,4c_activity,v8_237
Jun,4c_activity,v8_237
Btg2,4c_activity,v8_237
Ier2,4c_activity,v8_237
Sik1,4c_activity,v8_237
Egr2,4c_activity,v8_237
Creb1,5_receptor_map,v8_237
Camk2b,7_plasticity,v8_237
Gria3,7_plasticity,v8_237
Gria4,7_plasticity,v8_237
Grin3a,7_plasticity,v8_237
Nrxn1,7_plasticity,v8_237
Nlgn1,7_plasticity,v8_237
Syp,7_plasticity,v8_237
Syn1,7_plasticity,v8_237
Gphn,7_plasticity,v8_237
Shank3,7_plasticity,v8_237
Syngap1,7_plasticity,v8_237
Grm7,6_GPCR_druggable,v8_237
Grm3,6_GPCR_druggable,v8_237
Gpr158,6_GPCR_druggable,v8_237
Jund,5_IEG,v8_237
Ccbe1,1_celltype_separator,v8_237
Smoc2,1_celltype_separator,v8_237
Slc30a3,23_identity,v8_237
Sulf1,23_identity,v8_237
Lhx9,23_identity,v8_237
Adra2a,24_GPCR_map,v8_237
Htr1a,24_GPCR_map,v8_237
Grm2,24_GPCR_map,v8_237
Galr1,24_GPCR_map,v8_237
Ntrk3,25_plasticity,v8_237
Lrrtm2,25_plasticity,v8_237
Nrxn3,25_plasticity,v8_237
Arhgap32,25_plasticity,v8_237
Cdh8,25_plasticity,v8_237
Pcdh8,25_plasticity,v8_237
Pak1,25_plasticity,v8_237
Esr1,23_identity,v8_237
Adcyap1,24_GPCR_map,v8_237
Chat,27_cholinergic,v8_237
Slc5a7,27_cholinergic,v8_237
St8sia2,25_plasticity,v8_237
