gene,block,panel
Klf10,16_expanded_morphine_state,d301
Zbtb25,16_expanded_morphine_state,d301
Zbtb40,16_expanded_morphine_state,d301
Zfp46,16_expanded_morphine_state,d301
Zfp641,16_expanded_morphine_state,d301
Nr4a3,16_expanded_morphine_state,d301
Crem,16_expanded_morphine_state,d301
Egr3,16_expanded_morphine_state,d301
Egr4,16_expanded_morphine_state,d301
Chrd,16_expanded_morphine_state,d301
Etv5,16_expanded_morphine_state,d301
Hsf5,16_expanded_morphine_state,d301
Omg,16_expanded_morphine_state,d301
Sox8,16_expanded_morphine_state,d301
Stk40,16_expanded_morphine_state,d301
Zfp580,16_expanded_morphine_state,d301
Zkscan16,16_expanded_morphine_state,d301
Fosl2,16_expanded_morphine_state,d301
Hrh1,16_expanded_morphine_state,d301
Mbnl2,16_expanded_morphine_state,d301
Kitl,16_expanded_morphine_state,d301
Acsl4,16_expanded_morphine_state,d301
Ahctf1,16_expanded_morphine_state,d301
Dusp4,16_expanded_morphine_state,d301
Dusp5,16_expanded_morphine_state,d301
E2f6,16_expanded_morphine_state,d301
Ep300,16_expanded_morphine_state,d301
Fhl2,16_expanded_morphine_state,d301
Gabpa,16_expanded_morphine_state,d301
Gpr63,16_expanded_morphine_state,d301
Hivep1,16_expanded_morphine_state,d301
Hsd17b12,16_expanded_morphine_state,d301
Hspa5,16_expanded_morphine_state,d301
Smad5,16_expanded_morphine_state,d301
Sox12,16_expanded_morphine_state,d301
Zdbf2,16_expanded_morphine_state,d301
Zfp933,16_expanded_morphine_state,d301
Zhx2,16_expanded_morphine_state,d301
Zkscan2,16_expanded_morphine_state,d301
Mas1,17_expanded_ORB_GPCR,d301
Mchr1,17_expanded_ORB_GPCR,d301
Adra1a,17_expanded_ORB_GPCR,d301
Gpr68,17_expanded_ORB_GPCR,d301
Gpr3,17_expanded_ORB_GPCR,d301
Chrm3,17_expanded_ORB_GPCR,d301
Hrh3,17_expanded_ORB_GPCR,d301
Gpr22,17_expanded_ORB_GPCR,d301
Adra1b,17_expanded_ORB_GPCR,d301
Htr6,17_expanded_ORB_GPCR,d301
Sstr4,17_expanded_ORB_GPCR,d301
S1pr3,17_expanded_ORB_GPCR,d301
Gpr12,17_expanded_ORB_GPCR,d301
Vipr2,18_expanded_BMAp,d301
Sfrp1,18_expanded_BMAp,d301
Glipr1,18_expanded_BMAp,d301
Vdr,18_expanded_BMAp,d301
Mgp,18_expanded_BMAp,d301
Ctxn3,18_expanded_BMAp,d301
Rasa4,18_expanded_BMAp,d301
Upk1b,18_expanded_BMAp,d301
C1ql1,18_expanded_BMAp,d301
C1ql2,18_expanded_BMAp,d301
Rbms3,18_expanded_BMAp,d301
Pnoc,18_expanded_BMAp,d301
Maf,19_expanded_L5IT_separator,d301
Ptpru,19_expanded_L5IT_separator,d301
Rai14,19_expanded_L5IT_separator,d301
Sema5a,19_expanded_L5IT_separator,d301
Sema5b,19_expanded_L5IT_separator,d301
Thsd7b,19_expanded_L5IT_separator,d301
Adamts17,20_Allen_supertype_discovery,d301
Arhgap15,20_Allen_supertype_discovery,d301
Arhgap31,20_Allen_supertype_discovery,d301
Cbln4,20_Allen_supertype_discovery,d301
Cd24a,20_Allen_supertype_discovery,d301
Crispld1,20_Allen_supertype_discovery,d301
Crispld2,20_Allen_supertype_discovery,d301
Dio3,20_Allen_supertype_discovery,d301
Dipk2a,20_Allen_supertype_discovery,d301
Elfn1,20_Allen_supertype_discovery,d301
Fbn2,20_Allen_supertype_discovery,d301
Glra3,20_Allen_supertype_discovery,d301
Gm10754,20_Allen_supertype_discovery,d301
Gpr149,20_Allen_supertype_discovery,d301
Gpx3,20_Allen_supertype_discovery,d301
Grin3a,20_Allen_supertype_discovery,d301
Hhip,20_Allen_supertype_discovery,d301
Hpse,20_Allen_supertype_discovery,d301
Hs3st1,20_Allen_supertype_discovery,d301
Igf1,20_Allen_supertype_discovery,d301
Lin7a,20_Allen_supertype_discovery,d301
Luzp2,20_Allen_supertype_discovery,d301
Lypd1,20_Allen_supertype_discovery,d301
Maml2,20_Allen_supertype_discovery,d301
Marcks,20_Allen_supertype_discovery,d301
Masp1,20_Allen_supertype_discovery,d301
Meis1,20_Allen_supertype_discovery,d301
Minar1,20_Allen_supertype_discovery,d301
Mybpc1,20_Allen_supertype_discovery,d301
Myo1b,20_Allen_supertype_discovery,d301
Nbl1,20_Allen_supertype_discovery,d301
Nckap5,20_Allen_supertype_discovery,d301
Ndst3,20_Allen_supertype_discovery,d301
Necab1,20_Allen_supertype_discovery,d301
Neto1,20_Allen_supertype_discovery,d301
Pde1b,20_Allen_supertype_discovery,d301
Pde1c,20_Allen_supertype_discovery,d301
Piezo2,20_Allen_supertype_discovery,d301
Plce1,20_Allen_supertype_discovery,d301
Plcl1,20_Allen_supertype_discovery,d301
Plpp4,20_Allen_supertype_discovery,d301
Pvt1,20_Allen_supertype_discovery,d301
Rmst,20_Allen_supertype_discovery,d301
Rprml,20_Allen_supertype_discovery,d301
Rspo3,20_Allen_supertype_discovery,d301
