anchor,2010300C02Rik,Abca8a,Ackr3,Acsbg1,Acsl4,Acta2,Acvrl1,Adamts2,Adamtsl1,Adcyap1r1,Adgrl4,Adra1a,Adra1b,Ahctf1,Aldh1a2,Angpt1,Ano1,Aqp4,Arc,Arhgap12,Arhgap25,Arhgap6,Arhgef28,Arid5b,Baiap3,Banp,Bcl11b,Bdnf,Bhlhe22,Bhlhe40,Btbd11,C1ql1,C1ql2,Cabp7,Cacna2d2,Calb1,Calb2,Calcrl,Camk2a,Camk2g,Car4,Carmn,Cartpt,Cbln1,Cbln2,Cbln4,Ccdc42,Cck,Cckbr,Ccn2,Cd24a,Cd300c2,Cd44,Cd53,Cd68,Cd93,Cdh13,Cdh20,Cdh4,Cdh6,Cdh9,Chat,Chd2,Chodl,Chrd,Chrm1,Chrm2,Chrm3,Cldn5,Clmn,Cnih3,Cnr1,Cntn6,Cntnap4,Cntnap5b,Cobll1,Coch,Col19a1,Col1a1,Col23a1,Col6a1,Cort,Cplx3,Cpne4,Cpne6,Cpne8,Crem,Crh,Crhr1,Cspg4,Ctxn3,Cux2,Cwh43,Cx3cr1,Cyp1b1,Dcn,Deptor,Dkk3,Dlg4,Dlx1,Dnah5,Dner,Dpy19l1,Dpyd,Drd1,Drd2,Dusp1,Dusp4,Dusp5,E2f6,Ebf1,Ebf3,Egr1,Egr3,Egr4,Emcn,Emx1,Ep300,Epha4,Etv1,Etv5,Eya4,Fezf1,Fezf2,Fgd5,Fhl2,Fhod3,Fibcd1,Fign,Fmod,Fn1,Fos,Fosb,Fosl2,Foxp1,Foxp2,Fxr1,Gabbr1,Gabbr2,Gabpa,Gabre,Gad1,Gad2,Gadd45a,Galnt14,Galr1,Garnl3,Gfap,Gfra1,Gfra2,Gjb2,Gjc3,Gli3,Glipr1,Gm19410,Gm2115,Gng12,Gpr101,Gpr12,Gpr17,Gpr22,Gpr26,Gpr3,Gpr63,Gpr68,Gpr88,Gria1,Gria2,Grik3,Grin1,Grin2a,Grin2b,Grm1,Grm5,Grm8,Gsg1l,Gucy1a1,Hapln1,Hat1,Hcrtr1,Hcrtr2,Hivep1,Homer1,Hpcal1,Hrh1,Hrh3,Hs3st2,Hsd17b12,Hsf5,Hspa5,Htr1a,Htr1b,Htr1f,Htr2a,Htr2c,Htr6,Hunk,Id2,Igf1,Igf2,Igfbp4,Igfbp5,Igfbp6,Igsf21,Ikzf1,Inpp4b,Isl1,Junb,Kcnh5,Kcnmb2,Kctd12,Kctd8,Kdr,Kitl,Klf10,Krt9,Lamb3,Lamp5,Laptm5,Lhx6,Lratd2,Ly6a,Lypd6,Lyz2,Maf,Maml3,Mapk4,Mas1,Matn2,Mbnl2,Mbp,Mc4r,Mchr1,Mdga1,Mecom,Meis2,Mgp,Mpped1,Myl4,Myo16,Ndnf,Ndst3,Ndst4,Necab1,Necab2,Nell1,Neto2,Neurod2,Neurod6,Nfib,Nos1,Nostrin,Npas4,Npnt,Npr3,Nptx2,Npy,Npy1r,Npy2r,Nr2e1,Nr2f2,Nr4a1,Nr4a2,Nr4a3,Nrep,Nrn1,Nrp2,Ntrk2,Nts,Ntsr1,Ntsr2,Nwd2,Nxph3,Nxph4,Omg,Opalin,Opn3,Oprd1,Oprk1,Oprl1,Oprm1,Orai2,Otof,Otp,Oxtr,Paqr5,Parm1,Pcsk1,Pcsk5,Pde11a,Pde7b,Pdgfra,Pdyn,Pdzd2,Pdzrn3,Pecam1,Penk,Per1,Per2,Pglyrp1,Pip5k1b,Pkib,Plch1,Plcxd2,Plcxd3,Pld5,Plekha2,Pln,Pnoc,Pou3f1,Ppp1r1b,Prdm8,Prox1,Prph,Prr16,Prss35,Pthlh,Ptpru,Pvalb,Rab3b,Rai14,Rasa4,Rasgrf2,Rasl10a,Rbfox3,Rbms3,Rbp4,Rfx4,Rgs4,Rgs9,Rims3,Rmst,Rnf152,Ror1,Rorb,Rprm,Rspo1,Rspo2,Rxfp1,S1pr3,Satb2,Scn5a,Sdk2,Sema3a,Sema3d,Sema3e,Sema5a,Sema5b,Sema6a,Sfrp1,Shisa6,Siglech,Sim1,Sipa1l3,Skor1,Sla,Slc13a4,Slc17a6,Slc17a7,Slc29a4,Slc32a1,Slc39a12,Slc44a5,Slc6a3,Slfn5,Slit2,Smad5,Snap25,Sncg,Sntb1,Sorcs3,Sox10,Sox11,Sox12,Sox17,Sox5,Sox6,Sox8,Sp8,Sp9,Spag16,Spi1,Spp1,Sst,Sstr2,Sstr4,Stard5,Stk40,Strip2,Syndig1,Syndig1l,Synpr,Syt17,Syt2,Syt6,Tac1,Tac2,Tacr1,Tacr3,Tanc1,Tbr1,Tcf7l2,Th,Thsd7a,Thsd7b,Tiparp,Tle4,Tmem132d,Tmem163,Tmem255a,Tox,Trbc2,Trem2,Trh,Trhr,Trp73,Trpc4,Tshz2,Tspan18,Unc13c,Upk1b,Vat1l,Vdr,Vip,Vipr2,Vps13a,Vwc2l,Wfs1,Zbtb25,Zbtb40,Zdbf2,Zfp366,Zfp46,Zfp536,Zfp580,Zfp641,Zfp933,Zfpm2,Zhx2,Zic1,Zic2,Zkscan16,Zkscan2,Adcyap1,Adra2a,Adrb1,Adrb2,Arhgap32,Arntl,Bhlhe41,Btg2,Camk2b,Ccbe1,Cdh8,Clock,Creb1,Cry1,Cry2,Csf1r,Dbp,Ddc,Ddx3y,Egr2,Eif2s3y,Esr1,Gphn,Gpr158,Gria3,Gria4,Grin3a,Grm2,Grm3,Grm7,Hexb,Ier2,Jun,Jund,Kdm5d,Lhx9,Lrrtm2,Nlgn1,Npas2,Nr1d1,Nr1d2,Nrxn1,Nrxn3,Ntrk3,P2ry12,Pak1,Pcdh8,Pdgfrb,Per3,Rgs2,Rgs5,Scg2,Sgk1,Shank3,Sik1,Slc1a2,Slc30a3,Slc5a7,Slc6a1,Smoc2,St8sia2,Sulf1,Syn1,Syngap1,Syp,Syt1,Uty,Vgf,Vtn,Xist,Zbtb20,Adamts17,Arhgap15,Arhgap31,Crispld1,Crispld2,Dio3,Dipk2a,Elfn1,Fbn2,Glra3,Gm10754,Gpr149,Gpx3,Hhip,Hpse,Hs3st1,Lin7a,Luzp2,Lypd1,Maml2,Marcks,Masp1,Meis1,Minar1,Mybpc1,Myo1b,Nbl1,Nckap5,Neto1,Pde1b,Pde1c,Piezo2,Plce1,Plcl1,Plpp4,Pvt1,Rprml,Rspo3,Spon1,Stac,Tafa1,Trhde,Trpc3,Trpm3,Vegfc,Zfp804b,Arid3b,Bbx,Bcl6,Clk1,Dmc1,Dusp22,Hes1,Hnrnpll,Irf9,Kdm7a,Nuak1,Odc1,Osgin2,Pparg,Prox2,Rapgef2,Rbm3,Rel,Zdhhc5,Zfp286,Zfp414,Zfp867,Zfp938,Zfp941,Zmiz1
007 L2/3 IT CTX Glut,7.187,0.032,0.615,0.053,4.75,0.007,0.019,0.772,1.158,3.411,0.026,1.97,0.667,3.79,0.002,2.284,0.007,0.056,3.493,0.753,0.188,1.776,4.45,6.369,0.103,5.083,3.002,4.624,4.979,5.287,0.664,0.022,0.011,0.074,0.316,7.409,0.062,0.063,10.057,5.784,3.221,0.008,0.044,0.049,3.86,1.265,0.027,9.623,4.865,0.046,0.296,0.013,0.049,0.034,0.176,0.008,7.355,2.953,5.121,3.496,4.881,0.003,4.984,0.006,1.561,6.678,1.5,8.986,0.035,2.302,2.638,5.664,3.4,0.873,4.074,0.104,1.411,3.819,0.007,0.856,2.349,0.121,0.156,5.89,5.525,3.664,2.573,0.258,2.08,0.044,0.695,7.38,0.55,0.468,0.037,0.037,0.831,7.046,7.902,0.111,0.976,2.389,3.389,3.997,0.284,0.03,1.877,0.481,1.03,2.388,0.038,0.001,6.14,6.886,2.753,0.078,1.653,3.89,8.474,1.766,4.574,0.064,0.001,0.155,0.039,4.564,5.14,0.31,0.391,0.01,0.029,2.014,1.454,1.906,7.776,0.262,4.034,8.468,9.018,1.274,0.012,0.728,0.632,0.795,0.986,0.007,3.638,0.019,0.59,1.226,0.001,0.03,0.07,0.131,2.953,0.249,1.628,0.068,1.074,0.042,6.546,4.571,0.364,0.025,1.99,4.119,9.23,10.175,0.685,8.301,9.576,11.145,7.679,10.483,2.881,6.963,6.625,0.073,0.829,0.052,0.039,3.665,8.526,2.745,2.736,1.666,2.171,2.848,0.656,5.334,0.825,1.7,1.027,2.841,1.234,0.173,0.702,6.2,0.106,0.002,1.64,3.008,6.154,4.594,0.004,2.919,0.001,4.413,2.559,0.423,3.549,1.265,0.046,5.47,3.151,0.581,0.207,6.439,0.048,0.065,0.11,0.018,0.232,0.009,0.714,4.27,7.051,1.418,4.651,8.6,4.204,0.236,1.079,2.862,0.032,9.101,0.645,7.272,0.562,3.634,0.069,6.384,0.212,5.929,2.973,0.787,5.266,5.773,4.685,7.294,3.311,0.133,1.169,1.405,0.928,2.912,0.866,4.058,0.862,0.014,0.198,4.095,1.026,2.04,1.953,7.328,5.01,8.682,0.003,0.901,0.269,7.912,0.362,0.023,2.821,0.076,0.116,1.392,0.039,1.771,2.007,3.331,2.923,0.004,0.923,0.039,0.72,2.595,3.987,0.277,5.185,0.033,1.798,5.601,6.275,0.15,1.874,3.145,3.531,0.168,4.464,2.9,1.433,1.564,0.455,0.418,1.281,0.03,0.061,2.487,1.827,2.381,0.054,0.023,6.336,0.131,0.018,1.583,0.077,1.266,0.204,0.054,7.951,7.688,8.817,1.942,0.396,0.264,6.892,1.104,3.5,0.457,0.216,0.055,1.179,0.641,0.333,3.86,0.219,0.519,7.332,0.095,3.197,3.846,0.36,0.413,0.353,1.441,3.216,0.169,0.851,0.015,0.004,3.525,0.009,0.171,0.023,0.847,9.037,1.095,0.134,0.573,2.203,0.009,0.041,4.039,1.127,10.649,0.01,0.034,7.483,0.048,4.525,1.667,0.006,4.008,0.162,3.002,0.012,0.023,0.265,0.006,0.005,1.133,0.366,0.021,0.027,2.621,2.991,4.682,0.042,6.004,6.823,0.098,0.175,0.104,0.078,0.299,0.078,0.409,3.958,0.043,0.003,0.579,0.493,1.421,1.465,5.86,0.301,1.298,3.883,0.676,0.15,0.012,0.686,0.119,1.584,0.724,0.065,0.722,0.021,2.962,0.189,0.586,0.013,6.923,2.416,5.094,1.313,1.22,2.912,0.013,2.091,0.815,2.419,1.445,3.396,3.107,1.985,0.139,0.002,1.724,1.135,1.942,0.716,4.47,0.049,8.425,4.803,2.887,2.892,8.45,5.247,6.18,6.287,4.318,1.54,5.465,0.07,2.426,0.01,2.583,1.455,2.282,1.029,7.983,8.241,9.729,8.987,3.028,2.762,5.389,10.268,0.7,0.804,2.797,7.234,1.327,0.004,3.464,11.151,6.193,2.159,3.288,11.046,11.629,9.569,1.037,7.827,2.722,0.034,3.902,4.106,0.054,4.472,4.058,3.803,0.475,7.669,5.288,0.01,0.597,5.864,1.323,0.916,8.383,4.118,8.935,11.508,2.192,4.61,0.019,4.256,1.165,3.396,3.213,3.912,1.872,0.015,0.916,3.304,0.913,0.54,4.19,2.425,0.119,1.237,0.044,0.018,0.83,6.137,3.801,3.985,1.866,8.046,0.131,0.024,0.139,0.013,2.001,3.564,1.969,6.738,3.837,0.537,0.159,0.512,6.104,0.263,3.171,6.494,2.066,2.562,0.336,9.444,2.386,0.543,3.583,1.555,3.86,1.11,3.121,1.431,4.204,0.598,3.152,1.124,3.654,0.596,6.154,5.196,3.264,1.068,3.516,0.172,7.903,3.856,0.652,2.302,2.095,2.087,0.439,2.159,3.197,6.072
006 L4/5 IT CTX Glut,6.406,0.024,0.706,0.055,5.158,0.006,0.127,0.065,2.178,2.436,0.025,1.43,2.224,3.225,0.003,0.307,0.012,0.033,6.087,1.252,0.407,0.216,2.699,5.578,0.068,4.451,0.854,5.026,3.502,4.999,0.15,0.01,0.003,0.052,0.51,3.616,0.108,0.082,9.708,6.485,2.814,0.028,0.651,0.321,3.432,2.088,0.055,9.652,4.361,0.046,0.286,0.014,0.896,0.039,0.131,0.023,3.871,3.114,2.498,4.048,0.807,0.002,5.264,0.008,1.664,6.456,2.239,5.583,0.03,1.42,7.377,6.331,5.048,2.386,5.447,0.039,3.434,3.834,0.012,0.298,0.348,0.171,0.15,8.057,3.38,4.641,3.494,0.1,4.035,0.061,0.431,4.802,0.193,0.442,0.029,0.01,3.499,7.245,7.499,0.103,1.599,3.508,5.744,2.131,0.248,0.013,3.343,0.305,1.862,2.285,0.108,0.003,8.901,7.875,3.845,0.106,1.892,3.65,8.815,3.3,5.335,0.151,0.006,1.936,0.077,4.673,7.735,0.065,1.095,0.003,0.04,4.073,1.996,2.629,9.298,0.523,3.981,8.65,8.939,1.211,0.004,0.731,0.682,1.05,2.521,0.012,6.539,0.011,0.778,6.456,0.003,0.023,0.051,0.163,1.859,0.32,1.769,0.005,0.768,0.027,5.707,6.003,0.875,0.032,1.724,3.291,8.386,9.897,2.515,8.222,9.602,10.576,4.043,9.879,5.185,3.459,3.189,0.073,0.968,0.07,0.05,5.223,9.104,2.656,2.825,5.541,5.106,3.698,0.659,5.416,1.407,1.211,3.96,4.61,1.948,0.172,2.449,4.935,0.122,0.004,0.517,3.366,3.535,2.537,0.004,1.077,0.002,4.887,6.197,0.537,1.711,0.337,0.01,3.388,4.661,0.153,0.342,4.328,0.024,0.07,0.074,0.019,0.387,0.018,1.145,4.51,6.253,0.813,1.547,8.024,4.302,0.021,0.538,0.443,0.031,5.255,0.051,6.953,2.362,5.622,0.042,5.783,0.057,5.522,0.443,5.052,1.95,6.532,7.335,5.739,1.288,0.074,2.058,1.304,0.105,2.914,0.954,3.96,0.065,0.01,0.551,6.332,0.942,2.165,3.62,9.16,2.787,9.365,0.035,0.287,0.354,7.028,0.656,0.049,3.531,0.019,1.869,0.981,0.101,1.959,3.054,2.962,0.213,0.002,0.112,0.039,1.82,4.272,4.809,0.179,4.765,0.029,0.157,4.821,8.008,0.075,0.185,3.857,3.68,0.154,3.506,4.359,0.665,5.985,1.417,2.749,0.209,0.027,0.071,1.762,1.792,3.625,0.053,0.2,7.564,0.13,0.048,0.629,0.075,0.675,1.009,0.718,4.042,2.564,8.438,1.574,1.36,0.087,9.467,0.586,5.906,5.79,0.761,0.084,8.555,1.869,2.076,2.985,0.447,1.386,7.793,0.019,2.699,3.805,0.925,1.837,0.476,0.506,2.748,0.619,1.469,0.012,0.006,2.543,0.005,0.088,0.008,1.61,9.508,0.178,0.139,0.05,1.442,0.004,0.043,6.367,1.001,10.934,0.011,0.029,6.562,0.045,2.73,1.387,0.007,3.145,0.152,1.139,0.015,0.023,0.124,0.006,0.004,1.191,1.388,0.021,0.084,3.554,0.454,6.335,0.043,5.667,4.655,0.084,0.206,0.124,0.147,0.142,0.14,0.992,5.044,0.035,0.005,5.365,0.997,1.713,2.085,6.827,0.794,0.417,6.52,3.217,0.102,0.009,0.522,0.047,1.695,3.078,0.018,0.464,0.009,2.417,0.095,0.601,0.009,6.852,1.21,1.93,1.117,1.373,3.113,0.012,2.272,0.537,2.197,1.53,3.071,3.075,1.327,0.16,0.003,1.2,1.01,4.339,0.358,4.894,0.036,8.461,5.066,1.918,1.542,8.221,0.982,6.616,6.431,4.548,1.384,6.196,0.071,2.434,0.01,2.697,1.483,2.034,0.403,7.609,9.222,7.849,9.511,2.314,4.443,8.318,10.524,0.963,1.797,2.601,7.264,1.133,0.138,4.598,10.902,6.536,3.13,3.966,11.311,11.325,7.153,0.655,8.643,0.413,0.076,3.366,3.38,0.198,4.086,3.232,3.896,0.65,9.589,5.964,0.015,0.637,3.068,1.209,0.24,9.063,3.79,9.54,11.837,2.007,5.618,0.019,4.347,1.341,3.162,4.514,1.45,0.843,0.043,0.292,2.338,0.787,1.092,1.754,0.186,0.442,1.266,0.093,0.031,1.65,6.746,1.417,1.171,1.022,7.9,0.661,0.016,0.042,0.017,3.46,2.819,0.976,5.581,4.153,1.073,0.081,0.061,6.123,0.182,2.285,7.188,2.507,2.165,0.107,8.559,5.921,3.228,3.674,0.389,5.258,1.029,2.308,0.702,3.972,0.52,2.898,2.336,4.55,0.595,5.94,7.172,3.39,1.112,3.648,0.142,7.23,4.058,1.004,2.708,2.073,1.804,0.507,2.605,3.264,5.578
005 L5 IT CTX Glut,6.107,0.085,1.128,0.076,5.224,0.011,0.06,0.229,0.851,3.499,0.032,3.626,2.53,3.469,0.006,1.546,0.014,0.05,5.96,1.007,0.972,0.349,2.795,5.186,0.127,4.436,1.985,6.235,1.516,3.478,0.23,0.017,0.0,0.223,0.44,1.655,0.09,0.04,9.294,6.48,1.092,0.032,0.258,1.071,6.08,4.061,0.056,10.069,3.223,0.074,1.04,0.012,0.26,0.055,0.117,0.012,4.476,3.306,1.762,1.632,3.902,0.005,5.252,0.006,1.232,6.335,4.546,7.402,0.038,1.601,6.429,5.363,5.268,3.74,2.538,0.042,1.569,3.729,0.009,0.638,1.904,0.156,0.188,7.137,2.858,2.428,3.857,0.172,3.341,0.111,0.191,0.668,0.892,0.508,0.009,0.095,2.744,8.1,7.64,0.109,0.693,2.992,6.246,1.441,1.284,0.288,3.218,0.217,2.082,2.768,0.067,0.002,8.162,7.752,3.021,0.046,1.291,3.796,7.998,1.906,6.379,0.077,0.005,0.918,0.06,5.195,7.316,0.081,1.47,0.003,0.025,3.58,1.578,2.976,9.514,0.472,4.154,8.581,9.229,1.285,0.02,0.772,0.701,2.711,4.893,0.009,5.926,0.019,1.552,6.789,0.001,0.026,0.048,0.404,0.988,0.61,3.567,0.008,0.574,0.028,5.564,5.11,0.895,0.055,1.945,0.834,8.748,10.118,5.543,7.972,9.724,10.584,4.141,9.532,8.045,2.896,3.956,0.083,1.039,0.092,0.539,5.937,9.086,2.698,3.603,4.839,7.615,3.599,0.612,5.666,1.545,2.061,4.307,5.534,0.266,0.155,1.616,6.57,0.243,0.004,2.262,2.252,5.397,4.736,0.006,0.69,0.001,4.337,1.769,1.039,1.513,0.318,0.005,1.757,4.781,0.198,0.128,2.696,0.026,0.08,0.157,0.018,1.826,0.008,2.166,5.898,6.156,1.119,1.266,7.881,5.745,0.031,0.797,0.576,0.028,3.802,0.115,7.586,3.263,3.064,0.043,3.541,0.095,3.594,0.339,4.262,4.084,6.626,7.522,6.615,0.94,0.117,1.792,0.623,0.5,3.004,0.971,3.878,0.519,0.008,0.117,5.74,2.574,3.852,3.717,8.684,2.157,9.312,0.003,1.238,0.43,6.011,1.108,0.049,3.603,0.022,1.375,1.289,0.403,1.79,2.441,3.434,0.102,0.001,0.151,0.018,2.311,4.219,4.332,0.136,4.908,0.025,0.15,3.766,5.562,0.077,0.42,3.424,2.905,0.142,3.777,2.022,0.754,5.504,4.685,5.284,0.767,0.031,0.054,1.308,1.187,2.192,0.063,0.105,4.153,0.155,0.018,1.976,0.076,1.278,2.365,0.4,2.259,5.894,8.589,1.87,1.61,0.068,8.996,1.604,5.739,5.718,0.755,0.566,6.329,1.21,0.827,4.399,1.963,1.129,8.157,0.01,3.966,3.082,2.083,4.57,1.854,1.65,0.512,0.19,1.981,0.008,0.013,2.791,0.003,0.086,0.012,0.197,9.77,0.234,0.145,0.07,1.704,0.001,0.036,5.125,0.595,11.006,0.007,0.029,8.671,0.037,2.383,1.463,0.012,7.349,0.18,1.338,0.014,0.017,0.159,0.011,0.005,1.125,3.309,0.029,0.064,3.438,0.575,6.032,0.042,1.962,3.221,0.087,0.317,0.155,0.143,0.274,0.093,1.18,5.789,0.027,0.005,0.622,2.714,1.51,2.261,6.868,0.648,0.296,7.059,4.869,0.249,0.01,0.326,0.077,1.077,0.455,0.022,0.288,0.002,2.542,0.157,0.544,0.008,6.946,0.734,1.372,1.165,1.416,3.698,0.016,2.056,0.3,2.435,1.58,2.99,2.067,1.477,0.069,0.001,1.378,1.014,3.716,0.202,5.24,0.012,7.821,4.509,1.369,1.453,8.305,0.319,3.911,6.62,4.458,1.139,5.932,0.074,2.059,0.01,3.168,0.867,2.45,0.647,7.53,7.59,8.772,9.617,2.105,3.026,7.296,9.953,1.178,1.589,2.335,7.268,1.374,0.056,4.954,10.371,7.456,2.797,4.223,10.845,11.222,6.813,0.604,8.405,0.191,0.035,3.072,3.255,0.428,5.987,2.411,3.618,0.819,9.29,3.628,0.017,0.627,1.883,0.898,1.062,8.973,3.773,9.527,11.827,2.292,6.009,0.017,3.38,1.446,2.105,6.02,4.024,0.552,0.079,0.041,1.632,0.636,1.405,0.283,0.995,0.023,2.58,0.124,0.054,0.732,6.443,0.685,0.465,1.032,8.286,0.566,0.036,0.038,0.025,3.175,3.339,1.118,6.497,3.247,0.898,0.085,0.105,6.001,0.361,3.89,6.952,2.429,2.26,0.063,4.993,6.463,1.388,2.489,0.574,4.248,1.548,2.682,1.361,4.059,0.563,3.526,2.5,5.123,0.609,5.99,6.857,3.614,1.257,2.032,0.135,7.504,3.888,1.197,2.908,2.166,1.866,0.592,2.717,3.671,6.211
022 L5 ET CTX Glut,7.126,0.248,0.247,0.06,5.602,0.008,0.022,3.871,0.264,0.312,0.025,5.933,0.685,3.943,0.006,0.224,0.009,0.043,2.827,3.456,0.144,1.005,4.545,7.371,0.575,3.425,8.872,4.429,3.906,7.28,0.236,0.013,0.053,1.389,1.458,0.809,0.099,0.034,9.502,5.743,0.109,0.002,0.428,0.344,2.317,0.079,0.044,7.672,4.784,0.134,0.037,0.007,0.07,0.043,0.519,0.033,9.444,2.469,4.687,5.451,2.126,0.005,5.439,0.003,2.786,6.074,0.619,8.045,0.021,1.66,5.887,6.034,6.579,3.479,6.563,0.119,0.331,0.17,0.013,0.553,4.515,0.52,0.102,4.208,3.878,4.791,3.469,0.098,1.894,0.043,0.009,0.279,0.559,0.584,0.061,0.104,2.455,6.825,8.107,0.105,0.787,6.91,6.046,5.261,0.055,0.243,3.072,0.398,1.187,2.72,0.06,0.01,6.203,5.643,3.348,0.024,1.171,4.053,5.213,6.735,7.593,0.073,0.007,7.132,0.033,2.711,2.913,0.035,0.041,0.012,0.087,2.281,2.084,2.597,8.389,1.55,4.713,8.807,7.96,1.448,0.003,0.755,0.678,0.502,3.782,0.054,6.721,0.015,0.196,2.06,0.001,0.058,0.064,0.087,7.08,0.077,4.122,0.001,0.604,0.063,5.626,4.058,0.816,0.029,0.319,0.128,9.957,10.419,4.578,8.219,9.709,10.783,6.182,10.433,8.282,3.258,5.613,0.079,1.178,0.044,0.185,4.909,8.591,1.35,0.381,2.062,6.363,3.534,0.637,5.629,1.322,1.816,6.398,1.355,0.38,0.186,0.373,6.689,0.117,0.001,5.656,2.165,2.83,6.028,0.006,2.551,0.0,4.399,0.388,0.821,0.798,1.783,0.017,1.948,3.463,0.048,0.269,6.394,0.018,0.066,2.789,0.019,0.23,0.015,0.184,2.385,2.456,2.565,1.386,8.509,6.059,1.11,1.752,1.378,0.029,8.093,0.432,8.363,0.753,5.535,0.533,8.525,0.179,1.508,1.391,2.894,3.464,6.606,2.99,9.498,1.57,0.037,1.233,1.753,4.486,0.916,0.851,1.471,0.026,0.014,0.098,4.563,1.69,2.601,0.802,3.609,2.179,9.077,0.002,0.785,0.199,5.427,0.708,0.033,3.551,0.05,1.085,0.186,0.02,3.031,2.967,0.301,0.155,0.005,0.191,0.034,7.396,3.522,6.874,0.173,0.238,0.027,1.623,7.367,3.52,0.147,0.227,3.253,2.28,0.093,4.81,2.807,0.364,3.547,1.196,0.213,1.057,0.037,0.051,7.053,2.288,1.468,0.071,0.071,6.405,0.218,0.027,0.932,0.228,1.202,0.249,0.06,4.414,1.551,8.169,1.944,1.498,0.108,7.972,2.555,1.069,0.224,0.829,0.069,2.34,0.929,0.445,1.363,2.105,0.27,6.198,0.119,6.556,1.956,0.077,1.463,0.402,0.262,3.051,0.059,1.25,0.014,0.003,3.504,0.006,0.352,0.013,1.01,9.246,0.486,0.132,0.086,4.405,0.002,0.055,4.615,2.18,10.738,0.011,0.029,4.869,0.07,1.482,1.64,0.008,5.869,0.163,2.792,0.014,0.029,0.129,0.002,0.003,1.225,2.236,0.06,0.286,3.138,0.084,5.042,0.014,1.079,6.598,0.261,0.413,0.136,0.086,0.341,0.144,2.938,4.314,0.049,0.006,0.665,0.48,1.517,2.537,6.184,5.052,0.989,9.204,0.523,0.017,0.029,0.071,0.025,4.885,0.781,0.036,0.118,0.025,6.207,0.051,0.613,0.015,6.199,0.491,3.874,1.166,1.131,4.628,0.007,2.139,0.414,2.237,0.789,3.084,3.988,0.768,0.324,0.001,1.38,1.404,4.394,1.332,4.42,0.024,8.252,4.605,1.718,2.304,8.664,0.783,5.631,6.178,4.48,0.819,6.038,0.06,2.544,0.011,3.601,0.429,2.7,0.492,7.931,7.973,10.047,6.986,1.236,1.896,4.251,9.874,1.306,0.915,2.56,6.693,1.587,0.009,4.482,11.27,4.56,2.584,4.788,11.011,11.447,9.094,0.391,8.308,2.986,0.017,1.253,3.67,0.977,3.368,3.878,3.168,0.572,6.422,0.76,0.022,0.713,0.201,0.907,0.322,8.31,3.585,9.71,11.668,2.754,5.267,0.007,2.95,1.52,2.278,2.672,0.369,0.047,0.006,0.293,4.413,1.079,0.368,3.718,4.216,0.043,0.22,0.043,0.126,0.173,6.3,6.538,3.723,0.684,6.708,0.354,0.019,0.055,0.018,0.134,1.557,4.25,7.104,1.5,0.56,0.057,0.156,3.718,0.022,5.16,6.401,4.42,6.615,2.865,10.069,0.786,0.467,2.613,2.252,5.766,0.547,2.888,4.638,4.774,0.57,2.77,1.484,4.345,0.657,5.729,4.441,3.453,1.142,0.998,0.106,7.934,4.077,0.73,2.523,2.677,1.999,0.535,2.522,0.451,5.724
