gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Drd2,062 STR D2 Gaba,94.6,7.69,119 SI-MA-LPO-LHA Skor1 Glut,28.9,1.86,3,strong in its own population
Dusp1,332 SMC NN,82.8,7.64,006 L4/5 IT CTX Glut,54.5,3.34,8,strong in its own population
Dusp4,013 COAp Grxcr2 Glut,31.7,1.66,119 SI-MA-LPO-LHA Skor1 Glut,18.2,0.96,0,too low to map reliably
Dusp5,013 COAp Grxcr2 Glut,46.7,2.53,032 L5 NP CTX Glut,40.6,2.67,0,high level in a minority of cells (sparse but real)
E2f6,058 PAL-STR Gaba-Chol,77.5,4.06,119 SI-MA-LPO-LHA Skor1 Glut,63.5,3.71,30,strong in its own population
Ebf1,332 SMC NN,99.7,10.77,082 CEA-BST Ebf1 Pdyn Gaba,73.3,6.31,7,strong in its own population
Ebf3,133 PVH-SO-PVa Otp Glut,91.9,8.2,121 MEA-BST Otp Zic2 Glut,18.5,1.25,3,strong in its own population
Egr1,026 NLOT Rho Glut,98.6,7.84,006 L4/5 IT CTX Glut,98.0,8.9,47,strong in its own population
Egr3,001 CLA-EPd-CTX Car3 Glut,96.8,7.93,006 L4/5 IT CTX Glut,96.5,7.88,27,strong in its own population
Egr4,013 COAp Grxcr2 Glut,71.7,4.74,006 L4/5 IT CTX Glut,60.1,3.85,5,strong in its own population
Emcn,333 Endo NN,85.2,7.64,120 MEA Otp Foxp2 Glut,3.1,0.15,2,strong in its own population
Emx1,013 COAp Grxcr2 Glut,61.7,3.5,012 MEA Slc17a7 Glut,41.2,2.18,1,usable in its own population
Ep300,133 PVH-SO-PVa Otp Glut,95.6,6.21,012 MEA Slc17a7 Glut,87.5,5.48,67,strong in its own population
Epha4,013 COAp Grxcr2 Glut,100.0,7.55,006 L4/5 IT CTX Glut,99.5,8.81,42,strong in its own population
Etv1,032 L5 NP CTX Glut,99.8,9.89,032 L5 NP CTX Glut,99.8,9.89,20,strong in its own population
Etv5,022 L5 ET CTX Glut,95.8,7.59,022 L5 ET CTX Glut,95.8,7.59,28,strong in its own population
Eya4,052 Pvalb Gaba,50.6,3.88,052 Pvalb Gaba,51.3,3.95,1,usable in its own population
Fezf1,120 MEA Otp Foxp2 Glut,71.7,4.49,120 MEA Otp Foxp2 Glut,71.7,4.49,2,strong in its own population
Fezf2,022 L5 ET CTX Glut,94.1,7.13,022 L5 ET CTX Glut,94.1,7.13,6,strong in its own population
Fgd5,333 Endo NN,86.0,7.57,046 Vip Gaba,15.5,1.01,2,strong in its own population
Fhl2,026 NLOT Rho Glut,84.3,4.94,004 L6 IT CTX Glut,82.1,5.57,12,strong in its own population
Fhod3,006 L4/5 IT CTX Glut,96.8,7.74,006 L4/5 IT CTX Glut,96.8,7.74,41,strong in its own population
Fibcd1,058 PAL-STR Gaba-Chol,49.4,2.45,053 Sst Gaba,31.6,1.99,0,high level in a minority of cells (sparse but real)
Fign,084 BST-SI-AAA Six3 Slc22a3 Gaba,98.7,8.94,120 MEA Otp Foxp2 Glut,88.0,6.7,18,strong in its own population
Fmod,330 VLMC NN,48.8,4.8,029 L6b CTX Glut,1.2,0.07,0,high level in a minority of cells (sparse but real)
Fn1,333 Endo NN,93.8,9.21,119 SI-MA-LPO-LHA Skor1 Glut,3.3,0.2,1,strong in its own population
Fos,332 SMC NN,87.9,9.77,006 L4/5 IT CTX Glut,62.4,4.07,11,strong in its own population
Fosb,013 COAp Grxcr2 Glut,71.7,4.56,022 L5 ET CTX Glut,34.5,2.08,3,strong in its own population
Fosl2,013 COAp Grxcr2 Glut,81.7,5.66,005 L5 IT CTX Glut,49.0,2.98,3,strong in its own population
Foxp1,005 L5 IT CTX Glut,99.9,9.51,005 L5 IT CTX Glut,99.9,9.51,73,strong in its own population
Foxp2,064 STR-PAL Chst9 Gaba,100.0,10.6,120 MEA Otp Foxp2 Glut,99.0,9.27,17,strong in its own population
Fxr1,133 PVH-SO-PVa Otp Glut,96.3,6.79,119 SI-MA-LPO-LHA Skor1 Glut,88.2,5.84,64,strong in its own population
Gabbr1,013 COAp Grxcr2 Glut,100.0,8.35,022 L5 ET CTX Glut,99.7,8.81,69,strong in its own population
Gabbr2,013 COAp Grxcr2 Glut,100.0,8.91,004 L6 IT CTX Glut,99.9,9.35,64,strong in its own population
Gabpa,026 NLOT Rho Glut,43.4,2.17,012 MEA Slc17a7 Glut,38.1,1.97,0,high level in a minority of cells (sparse but real)
Gabre,077 CEA-BST Gal Avp Gaba,91.8,6.72,082 CEA-BST Ebf1 Pdyn Gaba,32.0,1.95,1,strong in its own population
Gad1,048 RHP-COA Ndnf Gaba,100.0,9.63,049 Lamp5 Gaba,100.0,10.87,40,strong in its own population
Gad2,048 RHP-COA Ndnf Gaba,100.0,11.11,049 Lamp5 Gaba,100.0,11.44,40,strong in its own population
Gadd45a,030 L6 CT CTX Glut,61.3,4.06,030 L6 CT CTX Glut,61.3,4.06,1,usable in its own population
Galnt14,002 IT EP-CLA Glut,97.4,8.27,004 L6 IT CTX Glut,92.3,7.53,28,strong in its own population
Galr1,077 CEA-BST Gal Avp Gaba,87.7,5.47,113 MEA-COA-BMA Ccdc42 Glut,35.6,2.08,1,strong in its own population
Garnl3,030 L6 CT CTX Glut,98.6,9.15,030 L6 CT CTX Glut,98.6,9.15,58,strong in its own population
Gfap,318 Astro-NT NN,24.1,1.88,012 MEA Slc17a7 Glut,1.4,0.07,0,too low to map reliably
Gfra1,001 CLA-EPd-CTX Car3 Glut,97.6,8.14,121 MEA-BST Otp Zic2 Glut,64.0,4.07,13,strong in its own population
Gfra2,005 L5 IT CTX Glut,93.5,6.79,005 L5 IT CTX Glut,93.5,6.79,19,strong in its own population
Gjb2,330 VLMC NN,64.3,5.5,121 MEA-BST Otp Zic2 Glut,0.3,0.02,1,usable in its own population
Gjc3,327 Oligo NN,98.2,9.34,012 MEA Slc17a7 Glut,1.9,0.09,2,strong in its own population
Gli3,319 Astro-TE NN,93.6,8.31,113 MEA-COA-BMA Ccdc42 Glut,3.3,0.18,2,strong in its own population
Glipr1,026 NLOT Rho Glut,30.8,1.51,113 MEA-COA-BMA Ccdc42 Glut,22.0,1.19,0,too low to map reliably
Gm19410,022 L5 ET CTX Glut,94.8,7.08,022 L5 ET CTX Glut,94.8,7.08,4,strong in its own population
Gm2115,058 PAL-STR Gaba-Chol,36.2,1.76,005 L5 IT CTX Glut,11.5,0.61,0,too low to map reliably
Gng12,029 L6b CTX Glut,97.2,7.9,029 L6b CTX Glut,97.2,7.9,23,strong in its own population
Gpr101,122 LHA-MEA Otp Glut,91.6,6.99,082 CEA-BST Ebf1 Pdyn Gaba,78.8,5.66,11,strong in its own population
Gpr12,051 Pvalb chandelier Gaba,56.1,3.65,012 MEA Slc17a7 Glut,47.9,2.55,2,usable in its own population
Gpr17,326 OPC NN,98.3,9.29,082 CEA-BST Ebf1 Pdyn Gaba,1.3,0.06,1,strong in its own population
Gpr22,013 COAp Grxcr2 Glut,100.0,7.83,004 L6 IT CTX Glut,91.4,6.63,41,strong in its own population
Gpr26,026 NLOT Rho Glut,98.2,7.17,006 L4/5 IT CTX Glut,85.8,6.0,25,strong in its own population
Gpr3,052 Pvalb Gaba,23.3,1.32,052 Pvalb Gaba,23.4,1.32,0,too low to map reliably
Gpr63,048 RHP-COA Ndnf Gaba,10.1,0.48,049 Lamp5 Gaba,2.7,0.14,0,too low to map reliably
Gpr68,077 CEA-BST Gal Avp Gaba,51.3,2.78,012 MEA Slc17a7 Glut,43.6,2.3,1,usable in its own population
Gpr88,063 STR D1 Sema5a Gaba,100.0,9.43,120 MEA Otp Foxp2 Glut,75.3,4.8,21,strong in its own population
Gria1,002 IT EP-CLA Glut,100.0,10.21,012 MEA Slc17a7 Glut,100.0,10.55,67,strong in its own population
Gria2,001 CLA-EPd-CTX Car3 Glut,100.0,9.99,022 L5 ET CTX Glut,100.0,10.42,68,strong in its own population
Grik3,059 GPe-SI Sox6 Cyp26b1 Gaba,98.9,7.76,029 L6b CTX Glut,98.5,8.18,35,strong in its own population
Grin1,013 COAp Grxcr2 Glut,100.0,8.11,022 L5 ET CTX Glut,99.2,8.22,65,strong in its own population
Grin2a,013 COAp Grxcr2 Glut,100.0,9.92,005 L5 IT CTX Glut,99.9,9.72,59,strong in its own population
Grin2b,001 CLA-EPd-CTX Car3 Glut,100.0,10.18,007 L2/3 IT CTX Glut,100.0,11.14,67,strong in its own population
Grm1,035 OB Eomes Ms4a15 Glut,100.0,10.77,012 MEA Slc17a7 Glut,98.2,7.84,57,strong in its own population
Grm5,001 CLA-EPd-CTX Car3 Glut,100.0,9.64,022 L5 ET CTX Glut,100.0,10.43,64,strong in its own population
Grm8,064 STR-PAL Chst9 Gaba,99.6,10.19,022 L5 ET CTX Glut,98.7,8.28,43,strong in its own population
Gsg1l,001 CLA-EPd-CTX Car3 Glut,93.9,6.97,007 L2/3 IT CTX Glut,92.3,6.96,23,strong in its own population
Gucy1a1,332 SMC NN,94.0,8.42,007 L2/3 IT CTX Glut,90.3,6.62,39,strong in its own population
Hapln1,050 Lamp5 Lhx6 Gaba,98.0,9.77,049 Lamp5 Gaba,89.0,7.64,5,strong in its own population
Hat1,133 PVH-SO-PVa Otp Glut,38.2,1.9,119 SI-MA-LPO-LHA Skor1 Glut,30.4,1.65,0,too low to map reliably
Hcrtr1,026 NLOT Rho Glut,16.4,0.76,113 MEA-COA-BMA Ccdc42 Glut,15.9,0.84,0,too low to map reliably
Hcrtr2,050 Lamp5 Lhx6 Gaba,89.2,7.64,049 Lamp5 Gaba,67.3,5.08,5,strong in its own population
Hivep1,029 L6b CTX Glut,90.0,6.55,029 L6b CTX Glut,90.0,6.55,39,strong in its own population
Homer1,001 CLA-EPd-CTX Car3 Glut,100.0,9.86,006 L4/5 IT CTX Glut,99.6,9.1,61,strong in its own population
Hpcal1,013 COAp Grxcr2 Glut,100.0,7.51,012 MEA Slc17a7 Glut,94.8,7.0,34,strong in its own population
Hrh1,120 MEA Otp Foxp2 Glut,70.2,4.14,120 MEA Otp Foxp2 Glut,70.2,4.14,14,strong in its own population
Hrh3,006 L4/5 IT CTX Glut,81.1,5.54,006 L4/5 IT CTX Glut,81.1,5.54,19,strong in its own population
Hs3st2,030 L6 CT CTX Glut,98.2,8.45,030 L6 CT CTX Glut,98.2,8.45,15,strong in its own population
Hsd17b12,058 PAL-STR Gaba-Chol,90.6,5.7,119 SI-MA-LPO-LHA Skor1 Glut,74.5,4.56,57,strong in its own population
Hsf5,058 PAL-STR Gaba-Chol,24.4,1.09,012 MEA Slc17a7 Glut,20.1,1.02,0,too low to map reliably
Hspa5,133 PVH-SO-PVa Otp Glut,100.0,8.0,074 MEA-BST Lhx6 Sp9 Gaba,87.4,5.84,67,strong in its own population
Htr1a,058 PAL-STR Gaba-Chol,63.1,3.59,005 L5 IT CTX Glut,28.3,1.54,1,usable in its own population
Htr1b,026 NLOT Rho Glut,88.1,5.33,082 CEA-BST Ebf1 Pdyn Gaba,51.9,3.24,7,strong in its own population
Htr1f,064 STR-PAL Chst9 Gaba,96.9,9.16,030 L6 CT CTX Glut,93.7,7.53,27,strong in its own population
Htr2a,001 CLA-EPd-CTX Car3 Glut,96.8,7.75,005 L5 IT CTX Glut,78.6,5.53,15,strong in its own population
Htr2c,120 MEA Otp Foxp2 Glut,98.3,9.19,120 MEA Otp Foxp2 Glut,98.3,9.19,35,strong in its own population
Htr6,083 CEA-BST Rai14 Pdyn Crh Gaba,8.9,0.45,004 L6 IT CTX Glut,5.2,0.28,0,too low to map reliably
Hunk,133 PVH-SO-PVa Otp Glut,68.4,4.04,052 Pvalb Gaba,63.4,4.29,8,usable in its own population
Id2,001 CLA-EPd-CTX Car3 Glut,99.2,8.78,049 Lamp5 Gaba,97.0,8.44,31,strong in its own population
Igf1,047 Sncg Gaba,95.2,8.25,046 Vip Gaba,94.8,8.96,9,strong in its own population
Igf2,330 VLMC NN,98.8,10.69,074 MEA-BST Lhx6 Sp9 Gaba,0.1,0.01,1,strong in its own population
Igfbp4,055 STR Lhx8 Gaba,99.1,8.69,022 L5 ET CTX Glut,78.9,5.66,10,strong in its own population
Igfbp5,077 CEA-BST Gal Avp Gaba,94.9,6.56,012 MEA Slc17a7 Glut,83.3,5.56,26,strong in its own population
Igfbp6,007 L2/3 IT CTX Glut,84.7,6.15,007 L2/3 IT CTX Glut,84.7,6.15,8,strong in its own population
Igsf21,002 IT EP-CLA Glut,94.8,7.37,030 L6 CT CTX Glut,93.5,7.08,25,strong in its own population
Ikzf1,334 Microglia NN,95.3,9.0,120 MEA Otp Foxp2 Glut,0.5,0.03,2,strong in its own population
Inpp4b,064 STR-PAL Chst9 Gaba,99.6,10.01,120 MEA Otp Foxp2 Glut,98.4,9.39,49,strong in its own population
Isl1,077 CEA-BST Gal Avp Gaba,94.9,6.36,082 CEA-BST Ebf1 Pdyn Gaba,54.8,3.67,9,strong in its own population
Junb,334 Microglia NN,95.9,11.15,006 L4/5 IT CTX Glut,72.8,4.89,25,strong in its own population
Kcnh5,064 STR-PAL Chst9 Gaba,95.7,8.16,006 L4/5 IT CTX Glut,82.5,6.2,22,strong in its own population
Kcnmb2,052 Pvalb Gaba,99.0,9.15,052 Pvalb Gaba,99.0,9.16,19,strong in its own population
Kctd12,334 Microglia NN,98.0,10.14,012 MEA Slc17a7 Glut,73.4,4.65,29,strong in its own population
Kctd8,059 GPe-SI Sox6 Cyp26b1 Gaba,96.2,7.58,053 Sst Gaba,88.8,7.22,31,strong in its own population
Kdr,333 Endo NN,84.6,7.66,119 SI-MA-LPO-LHA Skor1 Glut,11.4,0.65,1,strong in its own population
Kitl,001 CLA-EPd-CTX Car3 Glut,96.5,7.65,007 L2/3 IT CTX Glut,79.2,5.47,10,strong in its own population
Klf10,001 CLA-EPd-CTX Car3 Glut,78.5,5.15,005 L5 IT CTX Glut,75.9,4.78,13,strong in its own population
Krt9,113 MEA-COA-BMA Ccdc42 Glut,52.7,3.13,113 MEA-COA-BMA Ccdc42 Glut,52.7,3.13,1,usable in its own population
Lamb3,113 MEA-COA-BMA Ccdc42 Glut,66.7,4.03,113 MEA-COA-BMA Ccdc42 Glut,66.7,4.03,1,usable in its own population
Lamp5,050 Lamp5 Lhx6 Gaba,97.6,8.18,049 Lamp5 Gaba,91.5,7.97,18,strong in its own population
Laptm5,334 Microglia NN,99.3,10.41,007 L2/3 IT CTX Glut,1.0,0.05,2,strong in its own population
Lhx6,055 STR Lhx8 Gaba,100.0,7.72,074 MEA-BST Lhx6 Sp9 Gaba,88.7,6.19,14,strong in its own population
Lratd2,022 L5 ET CTX Glut,47.3,2.79,022 L5 ET CTX Glut,47.3,2.79,0,high level in a minority of cells (sparse but real)
Ly6a,333 Endo NN,94.2,9.22,052 Pvalb Gaba,0.5,0.02,1,strong in its own population
Lypd6,055 STR Lhx8 Gaba,94.6,7.32,053 Sst Gaba,92.9,8.11,12,strong in its own population
Lyz2,335 BAM NN,99.5,11.11,052 Pvalb Gaba,1.1,0.06,1,strong in its own population
Maf,050 Lamp5 Lhx6 Gaba,99.6,8.99,049 Lamp5 Gaba,91.5,7.65,14,strong in its own population
Maml3,026 NLOT Rho Glut,100.0,8.99,005 L5 IT CTX Glut,81.2,5.9,56,strong in its own population
Mapk4,013 COAp Grxcr2 Glut,100.0,9.38,007 L2/3 IT CTX Glut,90.9,7.05,51,strong in its own population
Mas1,013 COAp Grxcr2 Glut,90.0,5.68,022 L5 ET CTX Glut,44.8,2.56,2,strong in its own population
Matn2,026 NLOT Rho Glut,95.1,6.39,007 L2/3 IT CTX Glut,68.4,4.65,8,strong in its own population
Mbnl2,013 COAp Grxcr2 Glut,100.0,9.17,012 MEA Slc17a7 Glut,99.8,8.75,73,strong in its own population
Mbp,327 Oligo NN,99.5,12.12,113 MEA-COA-BMA Ccdc42 Glut,90.2,6.27,44,strong in its own population
Mc4r,026 NLOT Rho Glut,62.6,3.36,120 MEA Otp Foxp2 Glut,38.5,2.17,1,usable in its own population
Mchr1,022 L5 ET CTX Glut,32.0,1.75,022 L5 ET CTX Glut,32.0,1.75,0,too low to map reliably
Mdga1,120 MEA Otp Foxp2 Glut,82.0,5.71,120 MEA Otp Foxp2 Glut,82.0,5.71,10,strong in its own population
Mecom,333 Endo NN,93.0,9.26,119 SI-MA-LPO-LHA Skor1 Glut,1.2,0.07,1,strong in its own population
Meis2,041 OB-in Frmd7 Gaba,100.0,11.84,007 L2/3 IT CTX Glut,99.0,9.1,36,strong in its own population
Mgp,332 SMC NN,81.8,7.19,012 MEA Slc17a7 Glut,15.8,0.82,2,strong in its own population
Mpped1,029 L6b CTX Glut,99.6,9.01,029 L6b CTX Glut,99.6,9.01,36,strong in its own population
Myl4,032 L5 NP CTX Glut,92.4,7.96,032 L5 NP CTX Glut,92.4,7.96,2,strong in its own population
Myo16,041 OB-in Frmd7 Gaba,98.4,10.02,012 MEA Slc17a7 Glut,87.7,6.01,51,strong in its own population
Ndnf,036 HPF CR Glut,99.1,10.57,049 Lamp5 Gaba,54.5,4.85,6,strong in its own population
Ndst3,022 L5 ET CTX Glut,99.0,8.53,022 L5 ET CTX Glut,99.0,8.53,44,strong in its own population
Ndst4,056 Sst Chodl Gaba,93.5,8.3,119 SI-MA-LPO-LHA Skor1 Glut,75.0,6.73,10,strong in its own population
Necab1,047 Sncg Gaba,99.0,9.47,082 CEA-BST Ebf1 Pdyn Gaba,94.2,7.91,37,strong in its own population
Necab2,013 COAp Grxcr2 Glut,95.0,6.65,113 MEA-COA-BMA Ccdc42 Glut,87.8,5.88,34,strong in its own population
Nell1,077 CEA-BST Gal Avp Gaba,100.0,8.62,113 MEA-COA-BMA Ccdc42 Glut,87.0,6.94,44,strong in its own population
Neto2,026 NLOT Rho Glut,99.7,7.84,032 L5 NP CTX Glut,98.3,8.81,53,strong in its own population
Neurod2,026 NLOT Rho Glut,98.6,7.45,029 L6b CTX Glut,95.0,7.16,16,strong in its own population
Neurod6,005 L5 IT CTX Glut,96.9,7.52,005 L5 IT CTX Glut,96.9,7.52,13,strong in its own population
Nfib,010 IT AON-TT-DP Glut,100.0,9.71,022 L5 ET CTX Glut,100.0,9.5,36,strong in its own population
Nos1,120 MEA Otp Foxp2 Glut,99.7,9.77,120 MEA Otp Foxp2 Glut,99.7,9.77,27,strong in its own population
Nostrin,333 Endo NN,85.7,7.71,053 Sst Gaba,4.1,0.24,1,strong in its own population
Npas4,013 COAp Grxcr2 Glut,45.0,2.6,006 L4/5 IT CTX Glut,34.2,2.06,0,high level in a minority of cells (sparse but real)
Npnt,058 PAL-STR Gaba-Chol,60.0,3.38,119 SI-MA-LPO-LHA Skor1 Glut,33.7,2.15,1,usable in its own population
Npr3,022 L5 ET CTX Glut,70.8,4.49,022 L5 ET CTX Glut,70.8,4.49,3,strong in its own population
Nptx2,013 COAp Grxcr2 Glut,95.0,7.65,004 L6 IT CTX Glut,64.2,4.67,7,strong in its own population
Npy,056 Sst Chodl Gaba,92.0,9.76,049 Lamp5 Gaba,88.0,9.36,6,strong in its own population
Npy1r,026 NLOT Rho Glut,85.0,5.17,120 MEA Otp Foxp2 Glut,68.2,4.21,15,strong in its own population
Npy2r,012 MEA Slc17a7 Glut,75.7,5.07,012 MEA Slc17a7 Glut,75.7,5.07,6,strong in its own population
Nr2e1,075 MEA-BST Lhx6 Nr2e1 Gaba,84.0,5.66,074 MEA-BST Lhx6 Sp9 Gaba,58.6,3.5,4,strong in its own population
Nr2f2,026 NLOT Rho Glut,100.0,10.06,119 SI-MA-LPO-LHA Skor1 Glut,99.4,8.66,34,strong in its own population
Nr4a1,006 L4/5 IT CTX Glut,86.0,6.33,006 L4/5 IT CTX Glut,86.0,6.33,17,strong in its own population
Nr4a2,001 CLA-EPd-CTX Car3 Glut,100.0,10.53,029 L6b CTX Glut,57.7,3.91,5,strong in its own population
Nr4a3,013 COAp Grxcr2 Glut,80.0,5.8,004 L6 IT CTX Glut,63.4,4.15,6,strong in its own population
Nrep,057 NDB-SI-MA-STRv Lhx8 Gaba,71.1,4.1,052 Pvalb Gaba,68.6,4.52,22,strong in its own population
Nrn1,013 COAp Grxcr2 Glut,100.0,9.0,006 L4/5 IT CTX Glut,99.7,9.16,24,strong in its own population
Nrp2,013 COAp Grxcr2 Glut,100.0,8.96,012 MEA Slc17a7 Glut,98.6,7.96,46,strong in its own population
Ntrk2,013 COAp Grxcr2 Glut,100.0,9.68,006 L4/5 IT CTX Glut,99.9,9.37,67,strong in its own population
Nts,066 NDB-SI-ant Prdm12 Gaba,48.1,3.51,120 MEA Otp Foxp2 Glut,34.1,2.02,0,high level in a minority of cells (sparse but real)
Ntsr1,059 GPe-SI Sox6 Cyp26b1 Gaba,71.5,4.27,012 MEA Slc17a7 Glut,35.0,1.86,4,strong in its own population
Ntsr2,318 Astro-NT NN,99.1,9.45,005 L5 IT CTX Glut,8.5,0.43,2,strong in its own population
Nwd2,007 L2/3 IT CTX Glut,96.7,7.91,007 L2/3 IT CTX Glut,96.7,7.91,30,strong in its own population
Nxph3,029 L6b CTX Glut,98.6,8.46,029 L6b CTX Glut,98.6,8.46,3,strong in its own population
Nxph4,114 COAa-PAA-MEA Barhl2 Glut,86.5,6.09,029 L6b CTX Glut,65.5,4.91,3,strong in its own population
Omg,048 RHP-COA Ndnf Gaba,75.4,4.54,029 L6b CTX Glut,67.3,4.34,46,strong in its own population
Opalin,327 Oligo NN,79.3,7.13,004 L6 IT CTX Glut,1.7,0.1,1,strong in its own population
Opn3,055 STR Lhx8 Gaba,77.7,5.37,006 L4/5 IT CTX Glut,33.4,1.87,1,strong in its own population
Oprd1,051 Pvalb chandelier Gaba,68.7,4.64,052 Pvalb Gaba,68.1,4.58,4,usable in its own population
Oprk1,001 CLA-EPd-CTX Car3 Glut,90.2,7.09,119 SI-MA-LPO-LHA Skor1 Glut,39.3,2.46,2,strong in its own population
Oprl1,088 BST Tac2 Gaba,79.0,4.67,120 MEA Otp Foxp2 Glut,77.8,4.76,34,strong in its own population
Oprm1,084 BST-SI-AAA Six3 Slc22a3 Gaba,95.0,7.37,120 MEA Otp Foxp2 Glut,91.6,6.73,43,strong in its own population
Orai2,026 NLOT Rho Glut,88.1,5.28,082 CEA-BST Ebf1 Pdyn Gaba,76.8,4.61,39,strong in its own population
Otof,064 STR-PAL Chst9 Gaba,88.0,6.64,120 MEA Otp Foxp2 Glut,71.5,4.7,14,strong in its own population
Otp,133 PVH-SO-PVa Otp Glut,98.5,7.96,120 MEA Otp Foxp2 Glut,97.9,7.97,4,strong in its own population
Oxtr,059 GPe-SI Sox6 Cyp26b1 Gaba,76.3,4.78,012 MEA Slc17a7 Glut,58.2,3.34,3,strong in its own population
Paqr5,333 Endo NN,74.2,6.29,053 Sst Gaba,11.6,0.68,1,strong in its own population
Parm1,077 CEA-BST Gal Avp Gaba,100.0,8.96,049 Lamp5 Gaba,96.2,8.59,40,strong in its own population
Pcsk1,133 PVH-SO-PVa Otp Glut,99.3,7.49,029 L6b CTX Glut,67.4,4.43,15,strong in its own population
Pcsk5,026 NLOT Rho Glut,95.8,7.31,022 L5 ET CTX Glut,92.3,6.87,23,strong in its own population
Pde11a,083 CEA-BST Rai14 Pdyn Crh Gaba,97.2,8.03,049 Lamp5 Gaba,75.7,6.63,8,strong in its own population
Pde7b,061 STR D1 Gaba,99.5,9.76,082 CEA-BST Ebf1 Pdyn Gaba,87.5,6.65,42,strong in its own population
Pdgfra,326 OPC NN,99.9,10.77,046 Vip Gaba,4.3,0.28,2,strong in its own population
Pdyn,133 PVH-SO-PVa Otp Glut,98.5,8.06,082 CEA-BST Ebf1 Pdyn Gaba,63.0,4.61,7,strong in its own population
Pdzd2,036 HPF CR Glut,96.9,9.47,022 L5 ET CTX Glut,95.8,7.37,40,strong in its own population
Pdzrn3,006 L4/5 IT CTX Glut,95.0,8.01,006 L4/5 IT CTX Glut,95.0,8.01,12,strong in its own population
Pecam1,333 Endo NN,93.2,8.79,074 MEA-BST Lhx6 Sp9 Gaba,9.4,0.49,1,strong in its own population
Penk,062 STR D2 Gaba,96.0,9.39,113 MEA-COA-BMA Ccdc42 Glut,75.7,5.2,10,strong in its own population
Per1,013 COAp Grxcr2 Glut,65.0,3.67,006 L4/5 IT CTX Glut,63.2,3.86,6,usable in its own population
Per2,013 COAp Grxcr2 Glut,68.3,3.98,006 L4/5 IT CTX Glut,60.9,3.68,6,usable in its own population
Pglyrp1,333 Endo NN,79.5,6.9,119 SI-MA-LPO-LHA Skor1 Glut,11.3,0.59,1,strong in its own population
Pip5k1b,049 Lamp5 Gaba,98.2,8.58,012 MEA Slc17a7 Glut,98.1,7.77,50,strong in its own population
Pkib,012 MEA Slc17a7 Glut,89.3,5.87,012 MEA Slc17a7 Glut,89.3,5.87,17,strong in its own population
Plch1,026 NLOT Rho Glut,96.5,6.81,052 Pvalb Gaba,33.3,2.09,4,strong in its own population
Plcxd2,078 SI-MA-ACB Ebf1 Bnc2 Gaba,88.2,5.97,032 L5 NP CTX Glut,87.9,7.14,41,strong in its own population
Plcxd3,051 Pvalb chandelier Gaba,99.6,9.67,032 L5 NP CTX Glut,94.6,8.12,42,strong in its own population
Pld5,026 NLOT Rho Glut,100.0,8.2,049 Lamp5 Gaba,90.4,7.43,25,strong in its own population
Plekha2,010 IT AON-TT-DP Glut,61.1,3.92,004 L6 IT CTX Glut,50.9,3.28,6,usable in its own population
Pln,332 SMC NN,85.9,8.84,032 L5 NP CTX Glut,15.4,0.97,1,strong in its own population
Pnoc,077 CEA-BST Gal Avp Gaba,95.4,7.31,049 Lamp5 Gaba,81.5,6.43,6,strong in its own population
Pou3f1,026 NLOT Rho Glut,99.3,8.19,022 L5 ET CTX Glut,92.1,7.05,8,strong in its own population
Ppp1r1b,061 STR D1 Gaba,99.8,9.25,030 L6 CT CTX Glut,73.3,4.95,9,strong in its own population
Prdm8,026 NLOT Rho Glut,97.2,6.82,012 MEA Slc17a7 Glut,90.9,6.46,5,strong in its own population
Prox1,037 DG Glut,99.2,8.54,046 Vip Gaba,89.3,7.58,9,strong in its own population
Prph,029 L6b CTX Glut,7.7,0.43,029 L6b CTX Glut,7.7,0.43,0,too low to map reliably
Prr16,077 CEA-BST Gal Avp Gaba,98.0,7.99,006 L4/5 IT CTX Glut,94.6,7.56,44,strong in its own population
Prss35,030 L6 CT CTX Glut,55.9,3.67,030 L6 CT CTX Glut,55.9,3.67,1,usable in its own population
Pthlh,051 Pvalb chandelier Gaba,95.1,7.53,046 Vip Gaba,45.6,3.33,1,strong in its own population
Ptpru,001 CLA-EPd-CTX Car3 Glut,91.5,6.59,119 SI-MA-LPO-LHA Skor1 Glut,77.7,5.04,15,strong in its own population
Pvalb,052 Pvalb Gaba,70.8,6.11,052 Pvalb Gaba,71.3,6.18,2,strong in its own population
Rab3b,053 Sst Gaba,98.8,8.75,053 Sst Gaba,98.8,8.79,21,strong in its own population
Rai14,029 L6b CTX Glut,86.5,6.41,029 L6b CTX Glut,86.5,6.41,8,strong in its own population
Rasa4,335 BAM NN,50.5,3.68,119 SI-MA-LPO-LHA Skor1 Glut,20.3,1.11,1,usable in its own population
Rasgrf2,133 PVH-SO-PVa Otp Glut,99.3,7.4,049 Lamp5 Gaba,96.4,8.55,48,strong in its own population
Rasl10a,007 L2/3 IT CTX Glut,95.6,7.69,007 L2/3 IT CTX Glut,95.6,7.69,12,strong in its own population
Rbfox3,001 CLA-EPd-CTX Car3 Glut,100.0,9.09,012 MEA Slc17a7 Glut,99.5,8.68,61,strong in its own population
Rbms3,013 COAp Grxcr2 Glut,100.0,8.54,120 MEA Otp Foxp2 Glut,99.5,9.41,55,strong in its own population
