gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Hhip,327 Oligo NN,77.5,6.15,073 MEA-BST Sox6 Gaba,4.4,0.25,1,strong in its own population
Hpse,053 Sst Gaba,10.8,0.7,053 Sst Gaba,11.1,0.72,0,too low to map reliably
Hs3st1,013 COAp Grxcr2 Glut,70.0,4.1,052 Pvalb Gaba,45.9,2.86,4,strong in its own population
Lin7a,026 NLOT Rho Glut,99.7,7.81,006 L4/5 IT CTX Glut,92.3,6.75,54,strong in its own population
Luzp2,326 OPC NN,99.9,10.93,121 MEA-BST Otp Zic2 Glut,95.5,8.36,46,strong in its own population
Lypd1,026 NLOT Rho Glut,100.0,10.2,032 L5 NP CTX Glut,99.2,9.96,30,strong in its own population
Maml2,326 OPC NN,99.2,9.82,012 MEA Slc17a7 Glut,68.3,4.75,26,strong in its own population
Marcks,013 COAp Grxcr2 Glut,100.0,8.43,113 MEA-COA-BMA Ccdc42 Glut,99.8,8.84,70,strong in its own population
Masp1,056 Sst Chodl Gaba,74.7,4.81,053 Sst Gaba,63.3,4.22,3,strong in its own population
Meis1,114 COAa-PAA-MEA Barhl2 Glut,80.1,6.38,082 CEA-BST Ebf1 Pdyn Gaba,32.9,1.95,8,strong in its own population
Minar1,058 PAL-STR Gaba-Chol,65.6,3.4,053 Sst Gaba,56.9,3.79,5,usable in its own population
Mybpc1,052 Pvalb Gaba,20.9,1.28,052 Pvalb Gaba,21.3,1.31,0,too low to map reliably
Myo1b,331 Peri NN,96.3,9.61,113 MEA-COA-BMA Ccdc42 Glut,65.4,4.0,21,strong in its own population
Nbl1,331 Peri NN,88.5,8.13,007 L2/3 IT CTX Glut,58.2,3.56,9,strong in its own population
Nckap5,326 OPC NN,98.4,9.33,012 MEA Slc17a7 Glut,76.8,4.94,27,strong in its own population
Neto1,013 COAp Grxcr2 Glut,100.0,7.62,053 Sst Gaba,98.5,8.85,56,strong in its own population
Pde1b,061 STR D1 Gaba,98.0,8.13,012 MEA Slc17a7 Glut,77.9,4.67,47,strong in its own population
Pde1c,061 STR D1 Gaba,92.5,8.8,121 MEA-BST Otp Zic2 Glut,59.0,4.16,14,strong in its own population
Piezo2,119 SI-MA-LPO-LHA Skor1 Glut,20.2,1.45,119 SI-MA-LPO-LHA Skor1 Glut,20.2,1.45,0,too low to map reliably
Plce1,331 Peri NN,96.3,9.85,120 MEA Otp Foxp2 Glut,53.1,3.26,12,strong in its own population
Plcl1,331 Peri NN,99.0,10.96,006 L4/5 IT CTX Glut,86.3,6.12,50,strong in its own population
Plpp4,133 PVH-SO-PVa Otp Glut,91.2,6.44,119 SI-MA-LPO-LHA Skor1 Glut,49.6,3.15,6,strong in its own population
Pvt1,133 PVH-SO-PVa Otp Glut,95.6,7.52,049 Lamp5 Gaba,93.1,7.62,48,strong in its own population
Rprml,026 NLOT Rho Glut,98.6,7.13,006 L4/5 IT CTX Glut,95.4,7.19,35,strong in its own population
Rspo3,010 IT AON-TT-DP Glut,82.8,5.9,022 L5 ET CTX Glut,69.4,4.42,9,strong in its own population
Spon1,326 OPC NN,96.8,8.74,120 MEA Otp Foxp2 Glut,95.7,7.43,26,strong in its own population
Stac,026 NLOT Rho Glut,72.7,4.42,120 MEA Otp Foxp2 Glut,49.7,2.96,9,strong in its own population
Tafa1,022 L5 ET CTX Glut,97.8,10.07,022 L5 ET CTX Glut,97.8,10.07,24,strong in its own population
Trhde,001 CLA-EPd-CTX Car3 Glut,100.0,9.05,053 Sst Gaba,97.6,9.41,37,strong in its own population
Trpc3,331 Peri NN,89.0,8.53,032 L5 NP CTX Glut,81.8,6.17,11,strong in its own population
Trpm3,013 COAp Grxcr2 Glut,100.0,11.27,120 MEA Otp Foxp2 Glut,98.8,11.08,49,strong in its own population
Vegfc,048 RHP-COA Ndnf Gaba,51.4,3.05,022 L5 ET CTX Glut,39.6,2.25,1,usable in its own population
Zfp804b,051 Pvalb chandelier Gaba,100.0,11.66,113 MEA-COA-BMA Ccdc42 Glut,89.3,8.21,43,strong in its own population
Arid3b,026 NLOT Rho Glut,43.4,2.18,005 L5 IT CTX Glut,28.7,1.55,0,high level in a minority of cells (sparse but real)
Bbx,079 CEA-BST Six3 Cyp26b1 Gaba,94.8,7.08,082 CEA-BST Ebf1 Pdyn Gaba,86.8,5.83,55,strong in its own population
Bcl6,022 L5 ET CTX Glut,72.0,4.64,022 L5 ET CTX Glut,72.0,4.64,11,strong in its own population
Clk1,133 PVH-SO-PVa Otp Glut,89.0,5.6,012 MEA Slc17a7 Glut,85.4,5.3,71,strong in its own population
Dmc1,121 MEA-BST Otp Zic2 Glut,22.1,1.2,121 MEA-BST Otp Zic2 Glut,22.1,1.2,0,too low to map reliably
Dusp22,058 PAL-STR Gaba-Chol,84.4,4.83,120 MEA Otp Foxp2 Glut,67.1,3.88,44,strong in its own population
Hes1,332 SMC NN,79.9,7.3,004 L6 IT CTX Glut,44.2,2.73,6,strong in its own population
Hnrnpll,029 L6b CTX Glut,87.5,6.2,029 L6b CTX Glut,87.5,6.2,57,strong in its own population
Irf9,333 Endo NN,40.4,3.02,113 MEA-COA-BMA Ccdc42 Glut,21.2,1.1,0,high level in a minority of cells (sparse but real)
Kdm7a,013 COAp Grxcr2 Glut,98.3,7.49,012 MEA Slc17a7 Glut,88.8,5.96,62,strong in its own population
Nuak1,006 L4/5 IT CTX Glut,95.2,7.17,006 L4/5 IT CTX Glut,95.2,7.17,39,strong in its own population
