region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name,cell_type_label,role,n_anchors_passing,uniqueness,rank_key,rank_within_subclass,roi_clean,contaminating_subclass_in_roi
BMAp,073 MEA-BST Sox6 Gaba,Dlx2,8705,2.4849,44.46,False,True,-1.7997,4.2846,0.9102,1.5747,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,20.9102,6,False,"047 Sncg Gaba in same dissection is higher (4.28, 74%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Lhx6,6461,6.1937,88.66,False,True,-2.3256,8.5193,5.8983,0.2954,True,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,125.8983,1,False,"056 Sst Chodl Gaba in same dissection is higher (8.52, 99%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Sp9,6461,5.198,79.0,False,True,-1.0697,6.2677,4.4198,0.7782,True,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,124.4198,2,False,"054 STR Prox1 Lhx6 Gaba in same dissection is higher (6.27, 90%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Nr2e1,6461,3.4992,58.63,False,True,-2.1583,5.6575,2.4325,1.0667,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,22.4325,3,False,"075 MEA-BST Lhx6 Nr2e1 Gaba in same dissection is higher (5.66, 84%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Whrn,6461,4.248,66.86,False,True,-2.2993,6.5473,0.7924,3.4556,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,20.7924,4,False,"118 ADP-MPO Trp73 Glut in same dissection is higher (6.55, 94%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Slc6a1,6461,8.3163,98.99,False,True,-3.1298,11.4461,0.729,7.5873,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,20.729,5,False,"050 Lamp5 Lhx6 Gaba in same dissection is higher (11.45, 100%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Cartpt,6461,2.454,35.74,False,True,-3.9475,6.4015,0.6677,1.7863,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,20.6677,6,False,"076 MEA-BST Lhx6 Nfib Gaba in same dissection is higher (6.40, 70%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Adarb2,6461,10.3735,94.29,False,True,-2.9623,13.3358,0.604,9.7695,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,20.604,7,False,"047 Sncg Gaba in same dissection is higher (13.34, 100%)"
BMAp,074 MEA-BST Lhx6 Sp9 Gaba,Scn5a,6461,6.3819,90.17,False,True,-0.7243,7.1062,0.6002,5.7817,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,20.6002,8,False,"083 CEA-BST Rai14 Pdyn Crh Gaba in same dissection is higher (7.11, 95%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Ebf1,6966,6.3068,73.28,False,True,-0.6113,6.9181,4.7725,1.5343,True,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,124.7725,1,False,"061 STR D1 Gaba in same dissection is higher (6.92, 83%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Pdyn,6966,4.6061,63.05,False,True,-4.5437,9.1498,2.1191,2.487,True,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,122.1191,2,False,"061 STR D1 Gaba in same dissection is higher (9.15, 97%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Isl1,6966,3.6651,54.77,False,True,-3.7717,7.4368,3.5979,0.0672,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,23.5979,3,False,"093 RT-ZI Gnb3 Gaba in same dissection is higher (7.44, 100%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Dlx6,6966,5.4019,83.13,False,True,-0.217,5.6189,2.5438,2.8581,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,22.5438,4,False,"061 STR D1 Gaba in same dissection is higher (5.62, 84%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Meis2,6966,8.6553,92.29,False,True,-2.7361,11.3914,2.4246,6.2307,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,22.424599999999998,5,False,"063 STR D1 Sema5a Gaba in same dissection is higher (11.39, 100%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Sst,6966,4.1118,52.38,False,True,-7.0461,11.1579,2.1144,1.9974,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,22.1144,6,False,"056 Sst Chodl Gaba in same dissection is higher (11.16, 97%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Zfhx3,6966,9.7316,99.7,False,True,-1.0845,10.8161,1.9248,7.8068,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,21.9248,7,False,"077 CEA-BST Gal Avp Gaba in same dissection is higher (10.82, 100%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Rgs2,6966,6.6077,92.05,False,True,-0.481,7.0887,1.6899,4.9178,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,21.6899,8,False,"088 BST Tac2 Gaba in same dissection is higher (7.09, 94%)"
BMAp,082 CEA-BST Ebf1 Pdyn Gaba,Rgs9,6966,5.0327,80.48,False,True,-2.313,7.3457,1.331,3.7017,False,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1,UNIQUE_to_subclass,21.331,9,False,"063 STR D1 Sema5a Gaba in same dissection is higher (7.35, 92%)"
