region,anchor,gene,in_panel_245,pct_expr,mean_log2_expr,specificity_log2_vs_other_anchors,rank_key,rank_within_anchor_all_genes,rank_within_anchor_panel_status
BMAp,012 MEA Slc17a7 Glut,Zfpm2,False,99.6987951807229,9.650735755522089,6.2891951538563795,8.287885063928062,2,1
BMAp,012 MEA Slc17a7 Glut,Prdm8,False,90.88855421686748,6.464410866120733,5.868798733899546,7.827307928964897,3,2
BMAp,012 MEA Slc17a7 Glut,Nfix,False,97.0632530120482,8.09874164627259,4.881678008442888,6.868732850764292,7,3
BMAp,012 MEA Slc17a7 Glut,Slc30a3,False,77.35943775100401,5.307224503482681,4.8169591629401065,6.705472467570846,8,4
BMAp,012 MEA Slc17a7 Glut,Itga8,False,81.27510040160642,5.811941123870482,4.543601795279599,6.453559309945293,9,5
BMAp,012 MEA Slc17a7 Glut,Ptprk,False,99.04618473895583,8.676227370419177,4.142706294837781,6.138544046002293,10,6
BMAp,012 MEA Slc17a7 Glut,Car12,False,76.179718875502,5.704388844440261,4.251444514995862,6.133283880655478,11,7
BMAp,012 MEA Slc17a7 Glut,Chst9,False,81.97791164658635,6.794380157348143,4.181094238523442,6.09479108917243,12,8
BMAp,012 MEA Slc17a7 Glut,Nfia,False,91.29016064257029,7.8257610520205825,3.9815398897944867,5.941963861097538,13,9
BMAp,012 MEA Slc17a7 Glut,Slc1a3,False,59.33734939759036,4.44209062813755,4.0746762038036355,5.848004346261192,14,10
BMAp,073 MEA-BST Sox6 Gaba,Chn2,False,88.79954049396898,6.564734707064905,2.1476356948986686,4.096046413363643,3,1
BMAp,073 MEA-BST Sox6 Gaba,Dlx1as,False,48.69615163699024,2.93184165888857,1.959558818214719,3.64705345932959,4,2
BMAp,073 MEA-BST Sox6 Gaba,Metap1d,False,70.66053991958644,4.367502512923607,1.3980699318603036,3.2472468834307016,6,3
BMAp,073 MEA-BST Sox6 Gaba,Ankfn1,False,79.89661114302125,6.302789793940264,1.2916282126009229,3.194156571475638,7,4
BMAp,073 MEA-BST Sox6 Gaba,Ptprt,False,97.86329695577254,9.211640221137277,1.1880614097677675,3.1786812525587393,8,5
BMAp,073 MEA-BST Sox6 Gaba,Sox2,False,73.03848363009764,4.649879289919586,1.2726531929531726,3.1362049410785766,9,6
BMAp,073 MEA-BST Sox6 Gaba,Satb1,False,56.88684663986215,3.978707011056864,1.2263986449751814,2.981410505533893,10,7
BMAp,073 MEA-BST Sox6 Gaba,Sox1ot,False,40.333141872487076,2.552475902857553,1.26783415815859,2.873496212170591,12,8
BMAp,073 MEA-BST Sox6 Gaba,Cdh8,False,89.69557725445146,7.193057151062607,0.81302766199072,2.7657986911960055,13,9
